NG,0+97+104+105+110
NG00,0
NG01,0
NG02,0
NG03,0
NG04,0
NG05,0
NG06,0
NG07,0+110
NG07SW,0
NG07NW,0+110
NG07SE,0
NG07NE,0
NG07A,0
NG07B,0
NG07C,0
NG07D,0+110
NG0076,0
NG0077,0+110
NG000770,0
NG000771,0
NG000772,0
NG000773,0
NG000774,0
NG000775,0
NG000776,0
NG000777,0
NG000778,0
NG000779,0
NG001770,0
NG001771,0
NG001772,0
NG001773,0
NG001774,0
NG001775,0
NG001776,0
NG001777,0
NG001778,0
NG001779,0
NG002770,0
NG002771,0
NG002772,0
NG002773,0
NG002774,0
NG002775,0
NG002776,0
NG002777,0
NG002778,0+110
NG002779,0+110
NG003770,0
NG003771,0
NG003772,0
NG003773,0
NG003774,0
NG003775,0
NG003776,0+110
NG003777,0+110
NG003778,0+110
NG003779,0+110
NG004770,0
NG004771,0
NG004772,0
NG004773,0
NG004774,0
NG004775,0
NG004776,0+110
NG004777,0
NG004778,0
NG004779,0
NG005770,0
NG005771,0
NG005772,0
NG005773,0
NG005774,0
NG005775,0
NG005776,0
NG005777,0
NG005778,0
NG005779,0
NG006770,0
NG006771,0
NG006772,0
NG006773,0
NG006774,0
NG006775,0
NG006776,0
NG006777,0
NG006778,0
NG006779,0
NG007770,0
NG007771,0
NG007772,0
NG007773,0
NG007774,0
NG007775,0
NG007776,0
NG007777,0
NG007778,0
NG007779,0
NG008770,0
NG008771,0
NG008772,0
NG008773,0
NG008774,0
NG008775,0
NG008776,0
NG008777,0
NG008778,0
NG008779,0+110
NG009770,0
NG009771,0
NG009772,0
NG009773,0
NG009774,0
NG009775,0
NG009776,0
NG009777,0+110
NG009778,0+110
NG009779,0+110
NG0176,0
NG0177,0+110
NG010770,0
NG010771,0
NG010772,0
NG010773,0
NG010774,0
NG010775,0
NG010776,0
NG010777,0+110
NG010778,0+110
NG010779,0+110
NG011770,0
NG011771,0
NG011772,0
NG011773,0
NG011774,0
NG011775,0
NG011776,0
NG011777,0+110
NG011778,110
NG011779,110
NG012770,0
NG012771,0
NG012772,0
NG012773,0
NG012774,0
NG012775,0
NG012776,0
NG012777,0+110
NG012778,0+110
NG012779,0+110
NG013770,0
NG013771,0
NG013772,0
NG013773,0
NG013774,0
NG013775,0
NG013776,0
NG013777,0
NG013778,0+110
NG013779,0+110
NG014770,0
NG014771,0
NG014772,0
NG014773,0
NG014774,0
NG014775,0
NG014776,0
NG014777,0
NG014778,0
NG014779,0
NG015770,0
NG015771,0
NG015772,0
NG015773,0
NG015774,0
NG015775,0
NG015776,0
NG015777,0
NG015778,0
NG015779,0
NG016770,0
NG016771,0
NG016772,0
NG016773,0
NG016774,0
NG016775,0
NG016776,0
NG016777,0
NG016778,0
NG016779,0
NG017770,0
NG017771,0
NG017772,0
NG017773,0
NG017774,0
NG017775,0
NG017776,0
NG017777,0
NG017778,0
NG017779,0
NG018770,0
NG018771,0
NG018772,0
NG018773,0
NG018774,0
NG018775,0
NG018776,0
NG018777,0
NG018778,0
NG018779,0
NG019770,0
NG019771,0
NG019772,0
NG019773,0
NG019774,0
NG019775,0
NG019776,0
NG019777,0
NG019778,0
NG019779,0
NG07E,0+110
NG0078,0+110
NG000780,0
NG000781,0
NG000782,0
NG000783,0
NG000784,0
NG000785,0
NG000786,0
NG000787,0
NG000788,0
NG000789,0
NG001780,0
NG001781,0
NG001782,0
NG001783,0
NG001784,0
NG001785,0
NG001786,0
NG001787,0
NG001788,0
NG001789,0+110
NG002780,0
NG002781,0
NG002782,0
NG002783,0
NG002784,0
NG002785,0
NG002786,0
NG002787,0
NG002788,0
NG002789,0+110
NG003780,0
NG003781,0
NG003782,0
NG003783,0
NG003784,0
NG003785,0
NG003786,0
NG003787,0
NG003788,0
NG003789,0+110
NG004780,0
NG004781,0
NG004782,0
NG004783,0
NG004784,0
NG004785,0
NG004786,0
NG004787,0
NG004788,0
NG004789,0+110
NG005780,0
NG005781,0
NG005782,0
NG005783,0
NG005784,0
NG005785,0
NG005786,0
NG005787,0
NG005788,0
NG005789,0+110
NG006780,0
NG006781,0
NG006782,0
NG006783,0
NG006784,0
NG006785,0
NG006786,0
NG006787,0
NG006788,0
NG006789,0+110
NG007780,0+110
NG007781,0+110
NG007782,0
NG007783,0
NG007784,0
NG007785,0
NG007786,0
NG007787,0
NG007788,0+110
NG007789,0+110
NG008780,0+110
NG008781,0+110
NG008782,0+110
NG008783,0
NG008784,0
NG008785,0
NG008786,0
NG008787,0
NG008788,0
NG008789,0
NG009780,110
NG009781,110
NG009782,0+110
NG009783,0
NG009784,0
NG009785,0
NG009786,0
NG009787,0
NG009788,0
NG009789,0
NG0079,0+110
NG000790,0+110
NG000791,0+110
NG000792,0+110
NG000793,110
NG000794,110
NG000795,0+110
NG000796,0+110
NG000797,0
NG000798,0
NG000799,0
NG001790,0+110
NG001791,110
NG001792,110
NG001793,110
NG001794,110
NG001795,110
NG001796,0+110
NG001797,0
NG001798,0
NG001799,0
NG002790,0+110
NG002791,110
NG002792,110
NG002793,110
NG002794,110
NG002795,110
NG002796,0+110
NG002797,0+110
NG002798,0
NG002799,0
NG003790,0+110
NG003791,110
NG003792,110
NG003793,110
NG003794,110
NG003795,110
NG003796,0+110
NG003797,0+110
NG003798,0
NG003799,0
NG004790,0+110
NG004791,110
NG004792,110
NG004793,0+110
NG004794,0+110
NG004795,0+110
NG004796,0+110
NG004797,0+110
NG004798,0+110
NG004799,0+110
NG005790,0+110
NG005791,110
NG005792,0+110
NG005793,0+110
NG005794,0+110
NG005795,0+110
NG005796,0+110
NG005797,0+110
NG005798,0+110
NG005799,0
NG006790,0+110
NG006791,0+110
NG006792,0+110
NG006793,0
NG006794,0
NG006795,0
NG006796,0
NG006797,0
NG006798,0
NG006799,0
NG007790,0+110
NG007791,0+110
NG007792,0
NG007793,0
NG007794,0
NG007795,0
NG007796,0
NG007797,0
NG007798,0
NG007799,0
NG008790,0
NG008791,0+110
NG008792,0
NG008793,0
NG008794,0
NG008795,0
NG008796,0
NG008797,0
NG008798,0
NG008799,0
NG009790,0+110
NG009791,0+110
NG009792,0
NG009793,0
NG009794,0
NG009795,0
NG009796,0
NG009797,0
NG009798,0
NG009799,0
NG0178,0+110
NG010780,0+110
NG010781,0+110
NG010782,0+110
NG010783,0
NG010784,0
NG010785,0
NG010786,0
NG010787,0
NG010788,0
NG010789,0+110
NG011780,0+110
NG011781,0
NG011782,0
NG011783,0
NG011784,0
NG011785,0+110
NG011786,0+110
NG011787,0
NG011788,0+110
NG011789,0+110
NG012780,0+110
NG012781,0
NG012782,0
NG012783,0
NG012784,0
NG012785,0+110
NG012786,0+110
NG012787,0+110
NG012788,0+110
NG012789,110
NG013780,0
NG013781,0
NG013782,0
NG013783,0
NG013784,0
NG013785,0+110
NG013786,0+110
NG013787,0+110
NG013788,110
NG013789,110
NG014780,0
NG014781,0
NG014782,0
NG014783,0
NG014784,0+110
NG014785,0+110
NG014786,0+110
NG014787,0+110
NG014788,110
NG014789,110
NG015780,0
NG015781,0
NG015782,0
NG015783,0
NG015784,0+110
NG015785,0+110
NG015786,0+110
NG015787,0+110
NG015788,0+110
NG015789,110
NG016780,0
NG016781,0
NG016782,0
NG016783,0
NG016784,0
NG016785,0+110
NG016786,0+110
NG016787,0+110
NG016788,0+110
NG016789,0+110
NG017780,0
NG017781,0
NG017782,0
NG017783,0
NG017784,0
NG017785,0
NG017786,0
NG017787,0
NG017788,0
NG017789,0
NG018780,0
NG018781,0
NG018782,0
NG018783,0
NG018784,0
NG018785,0
NG018786,0
NG018787,0
NG018788,0
NG018789,0
NG019780,0
NG019781,0
NG019782,0
NG019783,0
NG019784,0
NG019785,0
NG019786,0
NG019787,0
NG019788,0
NG019789,0
NG0179,0+110
NG010790,0+110
NG010791,0+110
NG010792,0
NG010793,0
NG010794,0
NG010795,0
NG010796,0
NG010797,0
NG010798,0
NG010799,0
NG011790,0+110
NG011791,0+110
NG011792,0+110
NG011793,0
NG011794,0
NG011795,0
NG011796,0
NG011797,0
NG011798,0
NG011799,0
NG012790,110
NG012791,0+110
NG012792,0+110
NG012793,0
NG012794,0
NG012795,0
NG012796,0
NG012797,0
NG012798,0
NG012799,0
NG013790,110
NG013791,110
NG013792,0+110
NG013793,0+110
NG013794,0
NG013795,0
NG013796,0
NG013797,0
NG013798,0
NG013799,0
NG014790,0+110
NG014791,0+110
NG014792,0+110
NG014793,0
NG014794,0
NG014795,0
NG014796,0
NG014797,0
NG014798,0
NG014799,0
NG015790,0+110
NG015791,0
NG015792,0
NG015793,0
NG015794,0
NG015795,0
NG015796,0
NG015797,0
NG015798,0
NG015799,0
NG016790,0+110
NG016791,0
NG016792,0
NG016793,0
NG016794,0
NG016795,0
NG016796,0
NG016797,0
NG016798,0
NG016799,0
NG017790,0
NG017791,0
NG017792,0
NG017793,0
NG017794,0
NG017795,0
NG017796,0
NG017797,0
NG017798,0+110
NG017799,0+110
NG018790,0
NG018791,0
NG018792,0
NG018793,0
NG018794,0
NG018795,0
NG018796,0
NG018797,0+110
NG018798,0+110
NG018799,0+110
NG019790,0
NG019791,0
NG019792,0
NG019793,0
NG019794,0+110
NG019795,0
NG019796,0+110
NG019797,0+110
NG019798,110
NG019799,110
NG07F,0
NG07G,0
NG07H,0
NG07I,0
NG07J,0+110
NG0278,0
NG0279,0+110
NG020790,0
NG020791,0
NG020792,0
NG020793,0
NG020794,0+110
NG020795,0+110
NG020796,0+110
NG020797,110
NG020798,110
NG020799,110
NG021790,0
NG021791,0
NG021792,0
NG021793,0
NG021794,0+110
NG021795,0+110
NG021796,110
NG021797,110
NG021798,0+110
NG021799,0+110
NG022790,0
NG022791,0
NG022792,0
NG022793,0+110
NG022794,0+110
NG022795,0+110
NG022796,0+110
NG022797,0+110
NG022798,0+110
NG022799,0
NG023790,0
NG023791,0
NG023792,0
NG023793,0+110
NG023794,0+110
NG023795,0+110
NG023796,0+110
NG023797,0+110
NG023798,0
NG023799,0
NG024790,0
NG024791,0
NG024792,0
NG024793,0
NG024794,0
NG024795,0
NG024796,0
NG024797,0
NG024798,0
NG024799,0
NG025790,0
NG025791,0
NG025792,0
NG025793,0
NG025794,0
NG025795,0
NG025796,0
NG025797,0
NG025798,0
NG025799,0
NG026790,0
NG026791,0
NG026792,0
NG026793,0
NG026794,0
NG026795,0
NG026796,0
NG026797,0
NG026798,0
NG026799,0
NG027790,0
NG027791,0
NG027792,0
NG027793,0
NG027794,0
NG027795,0
NG027796,0
NG027797,0
NG027798,0
NG027799,0
NG028790,0
NG028791,0
NG028792,0
NG028793,0
NG028794,0
NG028795,0
NG028796,0
NG028797,0
NG028798,0
NG028799,0
NG029790,0
NG029791,0
NG029792,0
NG029793,0
NG029794,0
NG029795,0
NG029796,0
NG029797,0
NG029798,0
NG029799,0
