NO,0+85+87+88+89+90+91+92
NO00,85+87+88
NO00SW,85+87
NO00NW,85+87+88
NO00SE,85+87
NO00NE,85+88
NO00A,87
NO00B,87
NO00C,85+87
NO0004,87
NO0005,87
NO0104,85+87
NO010040,87
NO010041,87
NO010042,87
NO010043,87
NO010044,87
NO010045,87
NO010046,87
NO010047,87
NO010048,87
NO010049,87
NO011040,87
NO011041,87
NO011042,87
NO011043,87
NO011044,87
NO011045,87
NO011046,87
NO011047,87
NO011048,87
NO011049,87
NO012040,87
NO012041,87
NO012042,87
NO012043,87
NO012044,87
NO012045,87
NO012046,87
NO012047,87
NO012048,87
NO012049,87
NO013040,87
NO013041,87
NO013042,87
NO013043,87
NO013044,87
NO013045,87
NO013046,87
NO013047,87
NO013048,87
NO013049,87
NO014040,87
NO014041,87
NO014042,87
NO014043,87
NO014044,87
NO014045,87
NO014046,87
NO014047,87
NO014048,87
NO014049,87
NO015040,87
NO015041,87
NO015042,87
NO015043,87
NO015044,87
NO015045,87
NO015046,87
NO015047,87
NO015048,87
NO015049,85+87
NO016040,87
NO016041,87
NO016042,87
NO016043,87
NO016044,87
NO016045,87
NO016046,87
NO016047,87
NO016048,85+87
NO016049,85+87
NO017040,87
NO017041,87
NO017042,87
NO017043,87
NO017044,87
NO017045,87
NO017046,87
NO017047,85+87
NO017048,85+87
NO017049,85
NO018040,87
NO018041,87
NO018042,87
NO018043,87
NO018044,87
NO018045,87
NO018046,85+87
NO018047,85+87
NO018048,85
NO018049,85
NO019040,87
NO019041,87
NO019042,87
NO019043,87
NO019044,87
NO019045,87
NO019046,85+87
NO019047,85+87
NO019048,85
NO019049,85
NO0105,85+87
NO010050,87
NO010051,87
NO010052,87
NO010053,87
NO010054,87
NO010055,87
NO010056,87
NO010057,87
NO010058,87
NO010059,87
NO011050,87
NO011051,87
NO011052,87
NO011053,87
NO011054,87
NO011055,87
NO011056,87
NO011057,87
NO011058,87
NO011059,87
NO012050,87
NO012051,87
NO012052,87
NO012053,87
NO012054,87
NO012055,87
NO012056,85+87
NO012057,85+87
NO012058,87
NO012059,87
NO013050,87
NO013051,87
NO013052,85+87
NO013053,85+87
NO013054,85+87
NO013055,85+87
NO013056,85+87
NO013057,85+87
NO013058,85+87
NO013059,85+87
NO014050,85+87
NO014051,85+87
NO014052,85+87
NO014053,85
NO014054,85
NO014055,85
NO014056,85
NO014057,85
NO014058,85
NO014059,85+87
NO015050,85+87
NO015051,85
NO015052,85
NO015053,85
NO015054,85
NO015055,85
NO015056,85
NO015057,85
NO015058,85
NO015059,85
NO016050,85
NO016051,85
NO016052,85
NO016053,85
NO016054,85
NO016055,85
NO016056,85
NO016057,85
NO016058,85
NO016059,85
NO017050,85
NO017051,85
NO017052,85
NO017053,85
NO017054,85
NO017055,85
NO017056,85
NO017057,85
NO017058,85
NO017059,85
NO018050,85
NO018051,85
NO018052,85
NO018053,85
NO018054,85
NO018055,85
NO018056,85
NO018057,85
NO018058,85
NO018059,85
NO019050,85
NO019051,85
NO019052,85
NO019053,85
NO019054,85
NO019055,85
NO019056,85
NO019057,85
NO019058,85
NO019059,85
NO00D,85+87+88
NO0006,87
NO0007,87+88
NO000070,87
NO000071,87
NO000072,87
NO000073,87
NO000074,87
NO000075,87
NO000076,87+88
NO000077,87+88
NO000078,88
NO000079,88
NO001070,87
NO001071,87
NO001072,87
NO001073,87
NO001074,87
NO001075,87
NO001076,87
NO001077,87+88
NO001078,88
NO001079,88
NO002070,87
NO002071,87
NO002072,87
NO002073,87
NO002074,87
NO002075,87
NO002076,87
NO002077,87+88
NO002078,88
NO002079,88
NO003070,87
NO003071,87
NO003072,87
NO003073,87
NO003074,87
NO003075,87
NO003076,87
NO003077,87+88
NO003078,88
NO003079,88
NO004070,87
NO004071,87
NO004072,87
NO004073,87
NO004074,87
NO004075,87
NO004076,87
NO004077,87+88
NO004078,88
NO004079,88
NO005070,87
NO005071,87
NO005072,87
NO005073,87
NO005074,87
NO005075,87
NO005076,87
NO005077,87+88
NO005078,88
NO005079,88
NO006070,87
NO006071,87
NO006072,87
NO006073,87
NO006074,87
NO006075,87
NO006076,87
NO006077,87+88
NO006078,88
NO006079,88
NO007070,87
NO007071,87
NO007072,87
NO007073,87
NO007074,87
NO007075,87
NO007076,87
NO007077,87+88
NO007078,87+88
NO007079,88
NO008070,87
NO008071,87
NO008072,87
NO008073,87
NO008074,87
NO008075,87
NO008076,87
NO008077,87
NO008078,87+88
NO008079,88
NO009070,87
NO009071,87
NO009072,87
NO009073,87
NO009074,87
NO009075,87
NO009076,87
NO009077,87
NO009078,87+88
NO009079,88
NO0106,85+87
NO010060,87
NO010061,87
NO010062,87
