NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT00,72+77
NT00SW,72+77
NT00NW,72+77
NT00SE,72
NT00NE,72
NT00A,72
NT00B,72
NT00C,72+77
NT0004,72+77
NT000040,72
NT000041,72
NT000042,72
NT000043,72
NT000044,72
NT000045,72
NT000046,72
NT000047,72+77
NT000048,72+77
NT000049,77
NT001040,72
NT001041,72
NT001042,72
NT001043,72
NT001044,72
NT001045,72
NT001046,72
NT001047,72
NT001048,72+77
NT001049,72+77
NT002040,72
NT002041,72
NT002042,72
NT002043,72
NT002044,72
NT002045,72
NT002046,72
NT002047,72
NT002048,72
NT002049,72+77
NT003040,72
NT003041,72
NT003042,72
NT003043,72
NT003044,72
NT003045,72
NT003046,72
NT003047,72
NT003048,72
NT003049,72
NT004040,72
NT004041,72
NT004042,72
NT004043,72
NT004044,72
NT004045,72
NT004046,72
NT004047,72
NT004048,72
NT004049,72
NT005040,72
NT005041,72
NT005042,72
NT005043,72
NT005044,72
NT005045,72
NT005046,72
NT005047,72
NT005048,72
NT005049,72
NT006040,72
NT006041,72
NT006042,72
NT006043,72
NT006044,72
NT006045,72
NT006046,72
NT006047,72
NT006048,72
NT006049,72
NT007040,72
NT007041,72
NT007042,72
NT007043,72
NT007044,72
NT007045,72
NT007046,72
NT007047,72
NT007048,72
NT007049,72
NT008040,72
NT008041,72
NT008042,72
NT008043,72
NT008044,72
NT008045,72
NT008046,72
NT008047,72
NT008048,72
NT008049,72
NT009040,72
NT009041,72
NT009042,72
NT009043,72
NT009044,72
NT009045,72
NT009046,72
NT009047,72
NT009048,72
NT009049,72
NT0005,72+77
NT000050,77
NT000051,77
NT000052,72+77
NT000053,72+77
NT000054,72+77
NT000055,72
NT000056,72
NT000057,72
NT000058,72
NT000059,72
NT001050,72+77
NT001051,72+77
NT001052,72+77
NT001053,72
NT001054,72
NT001055,72
NT001056,72
NT001057,72
NT001058,72
NT001059,72
NT002050,72+77
NT002051,72
NT002052,72
NT002053,72
NT002054,72
NT002055,72
NT002056,72
NT002057,72
NT002058,72
NT002059,72
NT003050,72
NT003051,72
NT003052,72
NT003053,72
NT003054,72
NT003055,72
NT003056,72
NT003057,72
NT003058,72
NT003059,72
NT004050,72
NT004051,72
NT004052,72
NT004053,72
NT004054,72
NT004055,72
NT004056,72
NT004057,72
NT004058,72
NT004059,72
NT005050,72
NT005051,72
NT005052,72
NT005053,72
NT005054,72
NT005055,72
NT005056,72
NT005057,72
NT005058,72
NT005059,72
NT006050,72
NT006051,72
NT006052,72
NT006053,72
NT006054,72
NT006055,72
NT006056,72
NT006057,72
NT006058,72
NT006059,72
NT007050,72
NT007051,72
NT007052,72
NT007053,72
NT007054,72
NT007055,72
NT007056,72
NT007057,72
NT007058,72
NT007059,72
NT008050,72
NT008051,72
NT008052,72
NT008053,72
NT008054,72
NT008055,72
NT008056,72
NT008057,72
NT008058,72
NT008059,72
NT009050,72
NT009051,72
NT009052,72
NT009053,72
NT009054,72
NT009055,72
NT009056,72
NT009057,72
NT009058,72
NT009059,72
NT0104,72
NT0105,72
NT00D,72+77
NT0006,72
NT0007,72+77
NT000070,72
NT000071,72
NT000072,72+77
NT000073,72+77
NT000074,77
NT000075,77
NT000076,77
NT000077,77
NT000078,77
NT000079,77
NT001070,72
NT001071,72
NT001072,72
NT001073,72+77
NT001074,72+77
NT001075,72+77
NT001076,77
NT001077,77
NT001078,77
NT001079,77
NT002070,72
NT002071,72
NT002072,72
NT002073,72
NT002074,72
NT002075,72+77
NT002076,72+77
NT002077,72+77
NT002078,77
NT002079,77
NT003070,72
NT003071,72
NT003072,72
NT003073,72
NT003074,72
NT003075,72
NT003076,72
NT003077,72+77
NT003078,72+77
NT003079,72+77
NT004070,72
NT004071,72
NT004072,72
NT004073,72
NT004074,72
NT004075,72
NT004076,72
NT004077,72
NT004078,72
NT004079,72
NT005070,72
NT005071,72
NT005072,72
NT005073,72
NT005074,72
NT005075,72
NT005076,72
NT005077,72
NT005078,72
NT005079,72
NT006070,72
NT006071,72
NT006072,72
NT006073,72
NT006074,72
NT006075,72
NT006076,72
NT006077,72
NT006078,72
NT006079,72
NT007070,72
NT007071,72
NT007072,72
NT007073,72
NT007074,72
NT007075,72
NT007076,72
NT007077,72
NT007078,72
NT007079,72
NT008070,72
NT008071,72
NT008072,72
NT008073,72
NT008074,72
NT008075,72
NT008076,72
NT008077,72
NT008078,72
NT008079,72
NT009070,72
NT009071,72
NT009072,72
NT009073,72
NT009074,72
NT009075,72
NT009076,72
NT009077,72
NT009078,72
NT009079,72
NT0106,72
NT0107,72
NT00E,72+77
NT0008,72+77
NT000080,77
NT000081,77
NT000082,77
NT000083,72+77
NT000084,72+77
NT000085,77
NT000086,77
NT000087,77
NT000088,77
NT000089,77
NT001080,77
NT001081,77
NT001082,72+77
NT001083,72+77
NT001084,72+77
NT001085,72+77
NT001086,72+77
NT001087,77
NT001088,77
NT001089,77
NT002080,77
NT002081,72+77
NT002082,72+77
NT002083,72
NT002084,72
NT002085,72
NT002086,72+77
NT002087,72+77
NT002088,72+77
NT002089,77
NT003080,72+77
NT003081,72+77
NT003082,72
NT003083,72
NT003084,72
NT003085,72
NT003086,72
NT003087,72
NT003088,72+77
NT003089,72+77
NT004080,72+77
NT004081,72+77
NT004082,72
NT004083,72
NT004084,72
NT004085,72
NT004086,72
NT004087,72
NT004088,72
NT004089,72
NT005080,72
NT005081,72
NT005082,72
NT005083,72
NT005084,72
NT005085,72
NT005086,72
NT005087,72
NT005088,72
NT005089,72
NT006080,72
NT006081,72
NT006082,72
NT006083,72
NT006084,72
NT006085,72
NT006086,72
NT006087,72
NT006088,72
NT006089,72
NT007080,72
NT007081,72
NT007082,72
NT007083,72
NT007084,72
NT007085,72
NT007086,72
NT007087,72
NT007088,72
NT007089,72
NT008080,72
NT008081,72
NT008082,72
NT008083,72
NT008084,72
NT008085,72
NT008086,72
NT008087,72
NT008088,72
NT008089,72
NT009080,72
NT009081,72
NT009082,72
NT009083,72
NT009084,72
NT009085,72
NT009086,72
NT009087,72
NT009088,72
NT009089,72
NT0009,72+77
NT000090,77
NT000091,77
NT000092,77
NT000093,77
NT000094,77
NT000095,77
NT000096,77
NT000097,77
NT000098,77
NT000099,77
NT001090,77
NT001091,77
NT001092,77
NT001093,77
NT001094,77
NT001095,77
NT001096,77
NT001097,77
NT001098,77
NT001099,77
NT002090,77
NT002091,77
NT002092,77
NT002093,77
NT002094,77
NT002095,77
NT002096,77
NT002097,77
NT002098,77
NT002099,77
NT003090,72+77
NT003091,77
NT003092,77
NT003093,77
NT003094,77
NT003095,77
NT003096,77
NT003097,77
NT003098,77
NT003099,77
NT004090,72+77
NT004091,72+77
NT004092,72+77
NT004093,77
NT004094,77
NT004095,77
NT004096,77
NT004097,77
NT004098,77
NT004099,77
NT005090,72
NT005091,72
NT005092,72+77
NT005093,77
NT005094,77
NT005095,77
NT005096,77
NT005097,77
NT005098,77
NT005099,77
NT006090,72
NT006091,72
NT006092,72+77
NT006093,77
NT006094,77
NT006095,77
NT006096,77
NT006097,77
NT006098,77
NT006099,77
NT007090,72
NT007091,72
NT007092,72+77
NT007093,77
NT007094,77
NT007095,77
NT007096,77
NT007097,77
NT007098,77
NT007099,77
NT008090,72
NT008091,72
NT008092,72+77
NT008093,77
NT008094,77
NT008095,77
NT008096,77
NT008097,77
NT008098,77
NT008099,77
NT009090,72
NT009091,72
NT009092,72+77
NT009093,72+77
NT009094,77
NT009095,77
NT009096,77
NT009097,77
NT009098,77
NT009099,77
NT0108,72
NT0109,72+77
NT010090,72
NT010091,72
NT010092,72
NT010093,72+77
NT010094,77
NT010095,77
NT010096,77
NT010097,77
NT010098,77
NT010099,77
NT011090,72
NT011091,72
NT011092,72
NT011093,72+77
NT011094,72+77
NT011095,77
NT011096,77
NT011097,77
NT011098,77
NT011099,77
NT012090,72
NT012091,72
NT012092,72
NT012093,72+77
NT012094,72+77
NT012095,77
NT012096,77
NT012097,77
NT012098,77
NT012099,77
NT013090,72
NT013091,72
NT013092,72+77
NT013093,72+77
NT013094,77
NT013095,77
NT013096,77
NT013097,77
NT013098,77
NT013099,77
NT014090,72
NT014091,72
NT014092,72+77
NT014093,72+77
NT014094,77
NT014095,77
NT014096,77
NT014097,77
NT014098,77
NT014099,77
NT015090,72
NT015091,72
NT015092,72
NT015093,72+77
NT015094,72+77
NT015095,77
NT015096,77
NT015097,77
NT015098,77
NT015099,77
NT016090,72
NT016091,72
NT016092,72
NT016093,72
NT016094,72+77
NT016095,77
NT016096,77
NT016097,77
NT016098,77
NT016099,77
NT017090,72
NT017091,72
NT017092,72
NT017093,72
NT017094,72+77
NT017095,77
NT017096,77
NT017097,77
NT017098,77
NT017099,77
NT018090,72
NT018091,72
NT018092,72
NT018093,72+77
NT018094,72+77
NT018095,77
NT018096,77
NT018097,77
NT018098,77
NT018099,77
NT019090,72
NT019091,72
NT019092,72
NT019093,72+77
NT019094,77
NT019095,77
NT019096,77
NT019097,77
NT019098,77
NT019099,77
NT00F,72
NT00G,72
NT00H,72
NT00I,72
NT00J,72+77
NT0208,72
NT0209,72+77
NT020090,72
NT020091,72
NT020092,72
NT020093,72+77
NT020094,72+77
NT020095,77
NT020096,77
NT020097,77
NT020098,77
NT020099,77
NT021090,72
NT021091,72
NT021092,72
NT021093,72
NT021094,72+77
NT021095,77
NT021096,77
NT021097,77
NT021098,77
NT021099,77
NT022090,72
NT022091,72
NT022092,72
NT022093,72
NT022094,72+77
NT022095,77
NT022096,77
NT022097,77
NT022098,77
NT022099,77
NT023090,72
NT023091,72
NT023092,72
NT023093,72
NT023094,72+77
NT023095,77
NT023096,77
NT023097,77
NT023098,77
NT023099,77
NT024090,72
NT024091,72
NT024092,72
NT024093,72
NT024094,72+77
NT024095,77
NT024096,77
NT024097,77
NT024098,77
NT024099,77
NT025090,72
NT025091,72
NT025092,72
NT025093,72
NT025094,72+77
NT025095,72+77
NT025096,72+77
NT025097,72+77
NT025098,72+77
NT025099,72+77
NT026090,72
NT026091,72
NT026092,72
NT026093,72
NT026094,72
NT026095,72
NT026096,72+77
NT026097,72+77
NT026098,72
NT026099,72+77
NT027090,72
NT027091,72
NT027092,72
NT027093,72
NT027094,72
NT027095,72
NT027096,72
NT027097,72
NT027098,72
NT027099,72
NT028090,72
NT028091,72
NT028092,72
NT028093,72
NT028094,72
NT028095,72
NT028096,72
NT028097,72
NT028098,72
NT028099,72
NT029090,72
NT029091,72
NT029092,72
NT029093,72
NT029094,72
NT029095,72
NT029096,72
NT029097,72
NT029098,72
NT029099,72
NT0308,72
NT0309,72
NT00K,72
NT00L,72
NT00M,72
NT00N,72
NT00P,72
NT00Q,72
NT00R,72
NT00S,72
NT00T,72
NT00U,72
NT00V,72
NT00W,72
NT00X,72
NT00Y,72
NT00Z,72
NT01,72+77+78
NT01SW,72+77+78
NT01NW,77+78
NT01SE,72+77+78
NT01NE,78
NT01A,77
NT01B,77
NT01C,77
NT01D,77
NT01E,77
NT01F,72+77
NT0210,72+77
NT020100,77
NT020101,77
NT020102,77
NT020103,77
NT020104,77
NT020105,77
NT020106,77
NT020107,77
NT020108,77
NT020109,77
NT021100,77
NT021101,77
NT021102,77
NT021103,77
NT021104,77
NT021105,77
NT021106,77
NT021107,77
NT021108,77
NT021109,77
NT022100,77
NT022101,77
NT022102,77
NT022103,77
NT022104,77
NT022105,77
NT022106,77
NT022107,77
NT022108,77
NT022109,77
NT023100,77
NT023101,77
NT023102,77
NT023103,77
NT023104,77
NT023105,77
NT023106,77
NT023107,77
NT023108,77
NT023109,77
NT024100,77
NT024101,77
NT024102,77
NT024103,77
NT024104,77
NT024105,77
NT024106,77
NT024107,77
NT024108,77
NT024109,77
NT025100,72+77
NT025101,72+77
NT025102,72+77
NT025103,72+77
NT025104,77
NT025105,77
NT025106,77
NT025107,77
NT025108,77
NT025109,77
NT026100,72+77
NT026101,72
NT026102,72
NT026103,72+77
NT026104,72+77
NT026105,77
NT026106,77
NT026107,77
NT026108,77
NT026109,77
NT027100,72
NT027101,72
NT027102,72
NT027103,72
NT027104,72+77
NT027105,72+77
NT027106,77
NT027107,77
NT027108,77
NT027109,77
NT028100,72
NT028101,72
NT028102,72
NT028103,72
NT028104,72
NT028105,72+77
NT028106,72+77
NT028107,77
NT028108,77
NT028109,77
NT029100,72
NT029101,72
NT029102,72
NT029103,72
NT029104,72
NT029105,72
NT029106,72+77
NT029107,72+77
NT029108,77
NT029109,77
NT0211,77
NT0310,72+77
NT030100,72
NT030101,72
NT030102,72
NT030103,72
NT030104,72
NT030105,72
NT030106,72
NT030107,72+77
NT030108,72+77
NT030109,72+77
NT031100,72
NT031101,72
NT031102,72
NT031103,72
NT031104,72
NT031105,72
NT031106,72
NT031107,72
NT031108,72
NT031109,72
NT032100,72
NT032101,72
NT032102,72
NT032103,72
NT032104,72
NT032105,72
NT032106,72
NT032107,72
NT032108,72
NT032109,72
NT033100,72
NT033101,72
NT033102,72
NT033103,72
NT033104,72
NT033105,72
NT033106,72
NT033107,72
NT033108,72
NT033109,72+77
NT034100,72
NT034101,72
NT034102,72
NT034103,72
NT034104,72
NT034105,72
NT034106,72
NT034107,72
NT034108,72
NT034109,72+77
