NU,0+67+68
NU00,67+68
NU00SW,67+68
NU00NW,68
NU00SE,67+68
NU00NE,68
NU00A,67+68
NU0000,67
NU0001,67+68
NU000010,67
NU000011,67
NU000012,67+68
NU000013,67+68
NU000014,68
NU000015,68
NU000016,68
NU000017,68
NU000018,68
NU000019,68
NU001010,67
NU001011,67
NU001012,67+68
NU001013,67+68
NU001014,68
NU001015,68
NU001016,68
NU001017,68
NU001018,68
NU001019,68
NU002010,67
NU002011,67
NU002012,67+68
NU002013,67+68
NU002014,67+68
NU002015,67+68
NU002016,67+68
NU002017,68
NU002018,68
NU002019,68
NU003010,67
NU003011,67
NU003012,67
NU003013,67+68
NU003014,67+68
NU003015,67
NU003016,67+68
NU003017,68
NU003018,68
NU003019,68
NU004010,67
NU004011,67
NU004012,67
NU004013,67
NU004014,67
NU004015,67
NU004016,67+68
NU004017,67+68
NU004018,68
NU004019,68
NU005010,67
NU005011,67
NU005012,67
NU005013,67
NU005014,67
NU005015,67
NU005016,67
NU005017,67+68
NU005018,67+68
NU005019,68
NU006010,67
NU006011,67
NU006012,67
NU006013,67
NU006014,67
NU006015,67
NU006016,67
NU006017,67
NU006018,67+68
NU006019,67+68
NU007010,67
NU007011,67
NU007012,67
NU007013,67
NU007014,67
NU007015,67
NU007016,67
NU007017,67
NU007018,67
NU007019,67+68
NU008010,67
NU008011,67
NU008012,67
NU008013,67
NU008014,67
NU008015,67
NU008016,67
NU008017,67
NU008018,67
NU008019,67
NU009010,67
NU009011,67
NU009012,67
NU009013,67
NU009014,67
NU009015,67
NU009016,67
NU009017,67
NU009018,67
NU009019,67
NU0100,67
NU0101,67+68
NU010010,67
NU010011,67
NU010012,67
NU010013,67
NU010014,67
NU010015,67
NU010016,67
NU010017,67
NU010018,67
NU010019,67+68
NU011010,67
NU011011,67
NU011012,67
NU011013,67
NU011014,67
NU011015,67
NU011016,67
NU011017,67
NU011018,67
NU011019,67+68
NU012010,67
NU012011,67
NU012012,67
NU012013,67
NU012014,67
NU012015,67
NU012016,67
NU012017,67
NU012018,67
NU012019,67+68
NU013010,67
NU013011,67
NU013012,67
NU013013,67
NU013014,67
NU013015,67
NU013016,67
NU013017,67
NU013018,67
NU013019,67
NU014010,67
