NX,0+70+71+72+73+74+75
NX00,0
NX01,0
NX02,0
NX03,0+74
NX03SW,0
NX03NW,0
NX03SE,0+74
NX03NE,0+74
NX03A,0
NX03B,0
NX03C,0
NX03D,0
NX03E,0
NX03F,0
NX03G,0
NX03H,0
NX03I,0
NX03J,0
NX03K,0
NX03L,0
NX03M,0
NX03N,0
NX03P,0
NX03Q,0
NX03R,0
NX03S,0
NX03T,0
NX03U,0
NX03V,0
NX03W,0+74
NX0832,0
NX0833,0+74
NX080330,0
NX080331,0
NX080332,0
NX080333,0
NX080334,0
NX080335,0
NX080336,0
NX080337,0
NX080338,0
NX080339,0
NX081330,0
NX081331,0
NX081332,0
NX081333,0
NX081334,0
NX081335,0
NX081336,0
NX081337,0
NX081338,0
NX081339,0
NX082330,0
NX082331,0
NX082332,0
NX082333,0
NX082334,0
NX082335,0
NX082336,0
NX082337,0
NX082338,0
NX082339,0
NX083330,0
NX083331,0
NX083332,0
NX083333,0
NX083334,0
NX083335,0
NX083336,0
NX083337,0
NX083338,0
NX083339,0
NX084330,0
NX084331,0
NX084332,0
NX084333,0
NX084334,0
NX084335,0
NX084336,0
NX084337,0
NX084338,0
NX084339,0
NX085330,0
NX085331,0
NX085332,0
NX085333,0
NX085334,0
NX085335,0
NX085336,0
NX085337,0
NX085338,0
NX085339,0
NX086330,0
NX086331,0
NX086332,0
NX086333,0
NX086334,0
NX086335,0
NX086336,0
NX086337,0
NX086338,0
NX086339,0
NX087330,0
NX087331,0
NX087332,0
NX087333,0
NX087334,0
NX087335,0
NX087336,0
NX087337,0
NX087338,0
NX087339,0
NX088330,0
NX088331,0
NX088332,0
NX088333,0
NX088334,0
NX088335,0
NX088336,0
NX088337,0
NX088338,0
NX088339,0+74
NX089330,0
NX089331,0
NX089332,0
NX089333,0
NX089334,0
NX089335,0
NX089336,0
NX089337,0
NX089338,0
NX089339,0+74
NX0932,0
NX0933,0+74
NX090330,0
NX090331,0
NX090332,0
NX090333,0
NX090334,0
NX090335,0
NX090336,0
NX090337,0
NX090338,0+74
NX090339,0+74
NX091330,0
NX091331,0
NX091332,0
NX091333,0
NX091334,0
NX091335,0
NX091336,0
NX091337,0
NX091338,0+74
NX091339,74
NX092330,0
NX092331,0
NX092332,0
NX092333,0
NX092334,0
NX092335,0
NX092336,0
NX092337,0+74
NX092338,0+74
NX092339,0+74
NX093330,0
NX093331,0
NX093332,0
NX093333,0
NX093334,0
NX093335,0
NX093336,0
NX093337,0+74
NX093338,74
NX093339,74
NX094330,0
NX094331,0
NX094332,0
NX094333,0
NX094334,0
NX094335,0
NX094336,0+74
NX094337,0+74
NX094338,74
NX094339,74
NX095330,0
NX095331,0
NX095332,0
NX095333,0
NX095334,0+74
NX095335,0+74
NX095336,0+74
NX095337,74
NX095338,74
NX095339,74
NX096330,0
NX096331,0
NX096332,0
NX096333,0+74
NX096334,0+74
NX096335,74
NX096336,74
NX096337,74
NX096338,74
NX096339,74
NX097330,0
NX097331,0+74
NX097332,0+74
NX097333,0+74
NX097334,74
NX097335,74
NX097336,74
NX097337,74
NX097338,74
NX097339,74
NX098330,0
NX098331,0+74
NX098332,0+74
NX098333,74
NX098334,74
NX098335,74
NX098336,74
NX098337,74
NX098338,74
NX098339,74
NX099330,0+74
NX099331,0+74
NX099332,74
NX099333,74
NX099334,74
NX099335,74
NX099336,74
NX099337,74
NX099338,74
NX099339,74
NX03X,0+74
NX0834,0+74
NX080340,0
NX080341,0
NX080342,0
NX080343,0
NX080344,0
NX080345,0
NX080346,0
NX080347,0
NX080348,0
NX080349,0
NX081340,0
NX081341,0
NX081342,0
NX081343,0
NX081344,0
NX081345,0
