NY,0+65+66+67+68+69+70+72+73+80
NY00,0+70
NY00SW,0+70
NY00NW,0+70
NY00SE,70
NY00NE,70
NY00A,0
NY00B,0+70
NY0002,0
NY0003,0+70
NY000030,0
NY000031,0
NY000032,0
NY000033,0
NY000034,0
NY000035,0
NY000036,0
NY000037,0
NY000038,0
NY000039,0
NY001030,0
NY001031,0
NY001032,0
NY001033,0
NY001034,0
NY001035,0
NY001036,0
NY001037,0
NY001038,0
NY001039,0
NY002030,0
NY002031,0
NY002032,0
NY002033,0
NY002034,0
NY002035,0
NY002036,0
NY002037,0
NY002038,0
NY002039,0
NY003030,0
NY003031,0
NY003032,0
NY003033,0
NY003034,0
NY003035,0
NY003036,0
NY003037,0
NY003038,0
NY003039,0
NY004030,0
NY004031,0
NY004032,0
NY004033,0
NY004034,0
NY004035,0
NY004036,0
NY004037,0
NY004038,0
NY004039,0
NY005030,0
NY005031,0
NY005032,0
NY005033,0
NY005034,0
NY005035,0
NY005036,0
NY005037,0
NY005038,0
NY005039,0
NY006030,0
NY006031,0
NY006032,0
NY006033,0
NY006034,0
NY006035,0
NY006036,0
NY006037,0
NY006038,0
NY006039,0
NY007030,0
NY007031,0
NY007032,0
NY007033,0
NY007034,0
NY007035,0
NY007036,0
NY007037,0
NY007038,0
NY007039,0
NY008030,0
NY008031,0
NY008032,0
NY008033,0
NY008034,0
NY008035,0
NY008036,0
NY008037,0
NY008038,0+70
NY008039,0+70
NY009030,0
NY009031,0
NY009032,0
NY009033,0
NY009034,0
NY009035,0
NY009036,0
NY009037,0+70
NY009038,0+70
NY009039,70
NY0102,0+70
NY010020,0
NY010021,0
NY010022,0
NY010023,0
NY010024,0
NY010025,0
NY010026,0
NY010027,0
NY010028,0
NY010029,0
NY011020,0
NY011021,0
NY011022,0
NY011023,0
NY011024,0
NY011025,0
NY011026,0
NY011027,0
NY011028,0
NY011029,0
NY012020,0
NY012021,0
NY012022,0
NY012023,0
NY012024,0
NY012025,0
NY012026,0
NY012027,0
NY012028,0
NY012029,0
NY013020,0
NY013021,0
NY013022,0
NY013023,0
NY013024,0
NY013025,0
NY013026,0
NY013027,0
NY013028,0
NY013029,0
NY014020,0
NY014021,0
NY014022,0
NY014023,0
NY014024,0
NY014025,0
NY014026,0
NY014027,0
NY014028,0
NY014029,0
NY015020,0
NY015021,0
NY015022,0
NY015023,0
NY015024,0
NY015025,0
NY015026,0
NY015027,0
NY015028,0
NY015029,0+70
NY016020,0
NY016021,0
NY016022,0
NY016023,0
NY016024,0
NY016025,0
NY016026,0
NY016027,0+70
NY016028,0+70
NY016029,0+70
NY017020,0
NY017021,0
NY017022,0
NY017023,0
NY017024,0
NY017025,0+70
NY017026,0+70
NY017027,0+70
NY017028,70
NY017029,70
NY018020,0
NY018021,0
NY018022,0
NY018023,0
NY018024,0+70
NY018025,0+70
NY018026,70
NY018027,70
NY018028,70
NY018029,70
NY019020,0
NY019021,0
NY019022,0
NY019023,0+70
NY019024,0+70
NY019025,70
NY019026,70
NY019027,70
NY019028,70
NY019029,70
NY0103,0+70
NY010030,0
NY010031,0
NY010032,0
NY010033,0
NY010034,0
NY010035,0
NY010036,0+70
NY010037,0+70
NY010038,70
NY010039,70
NY011030,0
NY011031,0
NY011032,0
NY011033,0
NY011034,0
NY011035,0+70
NY011036,0+70
NY011037,70
NY011038,70
NY011039,70
NY012030,0
NY012031,0
NY012032,0
NY012033,0
NY012034,0+70
NY012035,0+70
NY012036,70
NY012037,70
NY012038,70
NY012039,70
NY013030,0
NY013031,0
NY013032,0
NY013033,0+70
NY013034,0+70
NY013035,70
NY013036,70
NY013037,70
NY013038,70
NY013039,70
NY014030,0
NY014031,0
NY014032,0+70
NY014033,0+70
NY014034,70
NY014035,70
NY014036,70
NY014037,70
NY014038,70
NY014039,70
NY015030,0+70
NY015031,0+70
NY015032,0+70
NY015033,70
NY015034,70
NY015035,70
NY015036,70
NY015037,70
NY015038,70
NY015039,70
NY016030,70
NY016031,70
NY016032,70
NY016033,70
NY016034,70
NY016035,70
NY016036,70
NY016037,70
NY016038,70
NY016039,70
NY017030,70
NY017031,70
NY017032,70
NY017033,70
NY017034,70
NY017035,70
NY017036,70
NY017037,70
NY017038,70
NY017039,70
NY018030,70
NY018031,70
NY018032,70
NY018033,70
NY018034,70
NY018035,70
NY018036,70
NY018037,70
NY018038,70
NY018039,70
NY019030,70
NY019031,70
NY019032,70
NY019033,70
NY019034,70
NY019035,70
NY019036,70
NY019037,70
NY019038,70
NY019039,70
NY00C,0+70
NY0004,0+70
NY000040,0
NY000041,0
NY000042,0
NY000043,0
NY000044,0
NY000045,0
NY000046,0
NY000047,0
NY000048,0
NY000049,0
NY001040,0
NY001041,0
NY001042,0
NY001043,0
NY001044,0
NY001045,0
NY001046,0
NY001047,0
NY001048,0
NY001049,0
NY002040,0
NY002041,0
NY002042,0
NY002043,0
NY002044,0
NY002045,0
NY002046,0
NY002047,0
NY002048,0+70
NY002049,0+70
NY003040,0
NY003041,0
NY003042,0
NY003043,0
NY003044,0
NY003045,0
NY003046,0+70
NY003047,0+70
NY003048,0+70
NY003049,70
NY004040,0
NY004041,0
NY004042,0
NY004043,0
NY004044,0
NY004045,0+70
NY004046,0+70
NY004047,70
NY004048,70
NY004049,70
NY005040,0
NY005041,0
NY005042,0
NY005043,0+70
NY005044,0+70
NY005045,0+70
NY005046,0+70
NY005047,70
NY005048,70
NY005049,70
NY006040,0
NY006041,0
NY006042,0+70
NY006043,0+70
NY006044,70
NY006045,70
NY006046,70
NY006047,70
NY006048,70
NY006049,70
NY007040,0
NY007041,0+70
NY007042,0+70
