SH,0+47+48+49+50+51+52
SH00,0
SH01,0
SH02,0
SH03,0
SH04,0
SH05,0
SH06,0
SH07,0
SH08,0
SH09,0
SH10,0
SH11,0
SH12,0+49
SH12SW,0+49
SH12NW,0+49
SH12SE,0+49
SH12NE,0+49
SH12A,0+49
SH1020,0+49
SH100200,0
SH100201,0
SH100202,0
SH100203,0
SH100204,0
SH100205,0
SH100206,0
SH100207,0
SH100208,0
SH100209,0
SH101200,0
SH101201,0
SH101202,0
SH101203,0
SH101204,0
SH101205,0
SH101206,0
SH101207,0
SH101208,0
SH101209,0
SH102200,0
SH102201,0
SH102202,0
SH102203,0
SH102204,0
SH102205,0
SH102206,0
SH102207,0
SH102208,0
SH102209,0
SH103200,0
SH103201,0
SH103202,0
SH103203,0
SH103204,0
SH103205,0
SH103206,0
SH103207,0
SH103208,0
SH103209,0
SH104200,0
SH104201,0
SH104202,0
SH104203,0
SH104204,0
SH104205,0
SH104206,0
SH104207,0
SH104208,0
SH104209,0
SH105200,0
SH105201,0
SH105202,0
SH105203,0
SH105204,0
SH105205,0
SH105206,0
SH105207,0
SH105208,0
SH105209,0
SH106200,0
SH106201,0
SH106202,0
SH106203,0
SH106204,0
SH106205,0
SH106206,0
SH106207,0
SH106208,0
SH106209,0
SH107200,0
SH107201,0
SH107202,0
SH107203,0
SH107204,0
SH107205,0
SH107206,0
SH107207,0
SH107208,0
SH107209,0
SH108200,0
SH108201,0+49
SH108202,0+49
SH108203,0
SH108204,0
SH108205,0
SH108206,0
SH108207,0
SH108208,0
SH108209,0
SH109200,0+49
SH109201,0+49
SH109202,0+49
SH109203,0+49
SH109204,0+49
SH109205,0+49
SH109206,0+49
SH109207,0+49
SH109208,0
SH109209,0
SH1021,0+49
SH100210,0
SH100211,0
SH100212,0
SH100213,0
SH100214,0
SH100215,0
SH100216,0
SH100217,0
SH100218,0
SH100219,0
SH101210,0
SH101211,0
SH101212,0
SH101213,0
SH101214,0
SH101215,0
SH101216,0
SH101217,0
SH101218,0
SH101219,0
SH102210,0
SH102211,0
SH102212,0
SH102213,0
SH102214,0
SH102215,0
SH102216,0
SH102217,0
SH102218,0
SH102219,0
SH103210,0
SH103211,0
SH103212,0
SH103213,0
SH103214,0
SH103215,0
SH103216,0
SH103217,0
SH103218,0
SH103219,0
SH104210,0
SH104211,0
SH104212,0
SH104213,0
SH104214,0
SH104215,0
SH104216,0
SH104217,0
SH104218,0
SH104219,0
SH105210,0
SH105211,0
SH105212,0
SH105213,0
SH105214,0
SH105215,0
SH105216,0
SH105217,0
SH105218,0
SH105219,0
SH106210,0
SH106211,0
SH106212,0
SH106213,0
SH106214,0
SH106215,0
SH106216,0
SH106217,0
SH106218,0
SH106219,0
SH107210,0
SH107211,0
SH107212,0
