ST,0+3+4+5+6+7+8+9+33+34+35+41
ST00,3
ST01,3+4+5
ST01SW,3+4
ST01NW,3+4
ST01SE,3
ST01NE,3+4+5
ST01A,3
ST01B,3+4
ST0012,3
ST0013,3+4
ST000130,3
ST000131,3
ST000132,3
ST000133,3
ST000134,3
ST000135,3+4
ST000136,3+4
ST000137,4
ST000138,4
ST000139,4
ST001130,3
ST001131,3
ST001132,3
ST001133,3
ST001134,3
ST001135,3+4
ST001136,4
ST001137,4
ST001138,4
ST001139,4
ST002130,3
ST002131,3
ST002132,3
ST002133,3
ST002134,3
ST002135,3+4
ST002136,4
ST002137,4
ST002138,4
ST002139,4
ST003130,3
ST003131,3
ST003132,3
ST003133,3
ST003134,3
ST003135,3+4
ST003136,4
ST003137,4
ST003138,4
ST003139,4
ST004130,3
ST004131,3
ST004132,3
ST004133,3+4
ST004134,3+4
ST004135,3+4
ST004136,4
ST004137,4
ST004138,4
ST004139,4
ST005130,3
ST005131,3
ST005132,3+4
ST005133,3+4
ST005134,4
ST005135,4
ST005136,4
ST005137,4
ST005138,4
ST005139,4
ST006130,3
ST006131,3
ST006132,3+4
ST006133,4
ST006134,4
ST006135,4
ST006136,4
ST006137,4
ST006138,4
ST006139,4
ST007130,3
ST007131,3
ST007132,3+4
ST007133,4
ST007134,4
ST007135,4
ST007136,4
ST007137,4
ST007138,4
ST007139,4
ST008130,3
ST008131,3+4
ST008132,3+4
ST008133,4
ST008134,4
ST008135,4
ST008136,4
ST008137,4
ST008138,4
ST008139,4
ST009130,3
ST009131,3+4
ST009132,4
ST009133,4
ST009134,4
ST009135,4
ST009136,4
ST009137,4
ST009138,4
ST009139,4
ST0112,3+4
ST010120,3
ST010121,3
ST010122,3
ST010123,3
ST010124,3
ST010125,3
ST010126,3
ST010127,3
ST010128,3
ST010129,3
ST011120,3
ST011121,3
ST011122,3
ST011123,3
ST011124,3
ST011125,3
ST011126,3
ST011127,3
ST011128,3
ST011129,3
ST012120,3
ST012121,3
ST012122,3
ST012123,3
ST012124,3
ST012125,3
ST012126,3
ST012127,3
ST012128,3
ST012129,3
ST013120,3
ST013121,3
ST013122,3
ST013123,3
ST013124,3
ST013125,3
ST013126,3
