SW,0+1+2
SW00,0
SW01,0
SW02,0
SW03,0
SW04,0
SW05,0
SW06,0
SW07,0
SW08,0
SW09,0
SW10,0
SW11,0
SW12,0
SW13,0
SW14,0
SW15,0
SW16,0
SW17,0
SW18,0
SW19,0
SW20,0
SW21,0
SW22,0
SW23,0
SW24,0
SW25,0
SW26,0
SW27,0
SW28,0
SW29,0
SW30,0
SW31,0
SW32,0+1
SW32SW,0+1
SW32NW,0+1
SW32SE,0+1
SW32NE,0+1
SW32A,0
SW32B,0
SW32C,0
SW32D,0
SW32E,0
SW32F,0
SW32G,0
SW32H,0
SW32I,0
SW32J,0
SW32K,0
SW32L,0+1
SW3422,0
SW3423,0+1
SW340230,0
SW340231,0
SW340232,0
SW340233,0
SW340234,0
SW340235,0
SW340236,0
SW340237,0
SW340238,0
SW340239,0
SW341230,0
SW341231,0
SW341232,0
SW341233,0
SW341234,0
SW341235,0
SW341236,0
SW341237,0
SW341238,0
SW341239,0
SW342230,0
SW342231,0
SW342232,0
SW342233,0
SW342234,0
SW342235,0
SW342236,0
SW342237,0
SW342238,0
SW342239,0
SW343230,0
SW343231,0
SW343232,0
SW343233,0
SW343234,0
SW343235,0
SW343236,0
SW343237,0
SW343238,0
SW343239,0
SW344230,0
SW344231,0
SW344232,0
SW344233,0
SW344234,0
SW344235,0
SW344236,0
SW344237,0
SW344238,0
SW344239,0
SW345230,0
SW345231,0
SW345232,0
SW345233,0
SW345234,0
SW345235,0
SW345236,0
SW345237,0
SW345238,0
SW345239,0
SW346230,0
SW346231,0
SW346232,0
SW346233,0
SW346234,0
SW346235,0
SW346236,0
SW346237,0
SW346238,0
SW346239,0
SW347230,0
SW347231,0
SW347232,0
SW347233,0
SW347234,0
SW347235,0
SW347236,0
SW347237,0
SW347238,0
SW347239,0+1
SW348230,0
SW348231,0
SW348232,0
SW348233,0
SW348234,0
SW348235,0
SW348236,0
SW348237,0+1
SW348238,0+1
SW348239,0+1
SW349230,0
SW349231,0
SW349232,0
SW349233,0
SW349234,0
SW349235,0
SW349236,0
SW349237,0+1
SW349238,1
SW349239,1
SW3522,0+1
SW350220,0
SW350221,0
SW350222,0
SW350223,0
SW350224,0
SW350225,0
SW350226,0
SW350227,0
SW350228,0
SW350229,0
SW351220,0
