SX,0+2+3+4
SX00,0
SX01,0
SX02,0
SX03,0+2
SX03SW,0
SX03NW,0+2
SX03SE,0
SX03NE,0
SX03A,0
SX03B,0
SX03C,0
SX03D,0
SX03E,0+2
SX0038,0
SX0039,0+2
SX000390,0
SX000391,0+2
SX000392,2
SX000393,2
SX000394,2
SX000395,2
SX000396,2
SX000397,2
SX000398,2
SX000399,2
SX001390,0
SX001391,0+2
SX001392,2
SX001393,2
SX001394,2
SX001395,2
SX001396,2
SX001397,2
SX001398,2
SX001399,2
SX002390,0
SX002391,0+2
SX002392,2
SX002393,2
SX002394,2
SX002395,2
SX002396,2
SX002397,2
SX002398,2
SX002399,2
SX003390,0
SX003391,0+2
SX003392,0+2
SX003393,2
SX003394,2
SX003395,2
SX003396,2
SX003397,2
SX003398,2
SX003399,2
SX004390,0
SX004391,0+2
SX004392,0+2
SX004393,2
SX004394,2
SX004395,2
SX004396,2
SX004397,2
SX004398,2
SX004399,0+2
SX005390,0
SX005391,0
SX005392,0+2
SX005393,0+2
SX005394,0+2
SX005395,0+2
SX005396,0+2
SX005397,0+2
SX005398,0+2
SX005399,0+2
SX006390,0
SX006391,0
SX006392,0
SX006393,0
SX006394,0
SX006395,0
SX006396,0
SX006397,0
SX006398,0
SX006399,0
SX007390,0
SX007391,0
SX007392,0
SX007393,0
SX007394,0
SX007395,0
SX007396,0
SX007397,0
SX007398,0
SX007399,0
SX008390,0
SX008391,0
SX008392,0
SX008393,0
SX008394,0
SX008395,0
SX008396,0
SX008397,0
SX008398,0
SX008399,0
SX009390,0
SX009391,0
SX009392,0
SX009393,0
SX009394,0
SX009395,0
SX009396,0
SX009397,0
SX009398,0
SX009399,0
SX0138,0
SX0139,0
SX03F,0
SX03G,0
SX03H,0
SX03I,0
SX03J,0
SX03K,0
SX03L,0
SX03M,0
SX03N,0
SX03P,0
SX03Q,0
SX03R,0
SX03S,0
SX03T,0
SX03U,0
SX03V,0
SX03W,0
SX03X,0
SX03Y,0
SX03Z,0
SX04,0+2
SX04SW,0+2
SX04NW,0+2
SX04SE,0
SX04NE,0+2
SX04A,0+2
SX0040,0+2
SX000400,2
SX000401,2
SX000402,2
SX000403,2
SX000404,2
SX000405,2
SX000406,2
SX000407,2
SX000408,2
SX000409,2
SX001400,2
SX001401,2
SX001402,2
SX001403,2
SX001404,2
SX001405,2
SX001406,2
SX001407,2
SX001408,2
SX001409,2
SX002400,2
SX002401,2
SX002402,2
SX002403,2
SX002404,2
SX002405,2
SX002406,2
SX002407,2
SX002408,2
SX002409,2
SX003400,2
SX003401,2
SX003402,2
SX003403,2
SX003404,2
SX003405,2
SX003406,2
SX003407,2
SX003408,2
SX003409,2
SX004400,0+2
SX004401,0+2
SX004402,0+2
SX004403,2
SX004404,2
SX004405,2
SX004406,2
SX004407,2
SX004408,2
SX004409,2
SX005400,0+2
SX005401,0+2
SX005402,0+2
SX005403,0+2
SX005404,0+2
SX005405,2
SX005406,2
SX005407,2
SX005408,2
SX005409,2
SX006400,0
SX006401,0
SX006402,0
SX006403,0
SX006404,0+2
SX006405,0+2
SX006406,2
SX006407,2
SX006408,2
SX006409,2
SX007400,0
SX007401,0
SX007402,0
SX007403,0
SX007404,0
SX007405,0+2
SX007406,0+2
SX007407,2
SX007408,2
SX007409,2
SX008400,0
SX008401,0
SX008402,0
SX008403,0
SX008404,0
SX008405,0
SX008406,0+2
SX008407,0+2
SX008408,2
SX008409,2
SX009400,0
SX009401,0
SX009402,0
SX009403,0
SX009404,0
SX009405,0
SX009406,0
SX009407,0+2
SX009408,2
SX009409,2
SX0041,2
SX0140,0+2
SX010400,0
SX010401,0
SX010402,0
SX010403,0
SX010404,0
SX010405,0
SX010406,0
SX010407,0+2
SX010408,2
SX010409,2
SX011400,0
SX011401,0
SX011402,0
SX011403,0
SX011404,0
SX011405,0
SX011406,0
SX011407,0+2
SX011408,0+2
SX011409,2
SX012400,0
SX012401,0
SX012402,0
SX012403,0
SX012404,0
SX012405,0
SX012406,0
SX012407,0
SX012408,0+2
SX012409,2
SX013400,0
SX013401,0
SX013402,0
SX013403,0
SX013404,0
SX013405,0
SX013406,0
SX013407,0
SX013408,0+2
SX013409,0+2
SX014400,0
SX014401,0
SX014402,0
SX014403,0
SX014404,0
SX014405,0
SX014406,0
SX014407,0
SX014408,0+2
SX014409,0+2
SX015400,0
SX015401,0
SX015402,0
SX015403,0
SX015404,0
SX015405,0
SX015406,0
SX015407,0
SX015408,0+2
SX015409,2
SX016400,0
SX016401,0
SX016402,0
SX016403,0
SX016404,0
SX016405,0
SX016406,0
SX016407,0
SX016408,0
