SY,0+3+9
SY00,0
SY01,0
SY02,0
SY03,0
SY04,0
SY05,0
SY06,0
SY07,0+3
SY07SW,0
SY07NW,0+3
SY07SE,0
SY07NE,0
SY07A,0
SY07B,0
SY07C,0
SY07D,0
SY07E,0+3
SY0078,0
SY0079,0+3
SY000790,0
SY000791,0
SY000792,0
SY000793,0
SY000794,0
SY000795,0
SY000796,0
SY000797,0
SY000798,0
SY000799,0
SY001790,0
SY001791,0
SY001792,0
SY001793,0
SY001794,0
SY001795,0
SY001796,0
SY001797,0
SY001798,0
SY001799,0
SY002790,0
SY002791,0
SY002792,0
SY002793,0
SY002794,0
SY002795,0
SY002796,0
SY002797,0
SY002798,0
SY002799,0
SY003790,0
SY003791,0
SY003792,0
SY003793,0
SY003794,0
SY003795,0
SY003796,0
SY003797,0
SY003798,0
SY003799,0
SY004790,0
SY004791,0
SY004792,0
SY004793,0
SY004794,0
SY004795,0
SY004796,0
SY004797,0
SY004798,0
SY004799,0+3
SY005790,0
SY005791,0
SY005792,0
SY005793,0
SY005794,0
SY005795,0
SY005796,0
SY005797,0
SY005798,0
SY005799,0+3
SY006790,0
SY006791,0
SY006792,0
SY006793,0
SY006794,0
SY006795,0
SY006796,0
SY006797,0
SY006798,0+3
SY006799,0+3
SY007790,0
SY007791,0
SY007792,0
SY007793,0
SY007794,0
SY007795,0
SY007796,0
SY007797,0
SY007798,0+3
SY007799,3
SY008790,0
SY008791,0
SY008792,0
SY008793,0
SY008794,0
SY008795,0
SY008796,0
SY008797,0
SY008798,0+3
SY008799,3
SY009790,0
SY009791,0
SY009792,0
SY009793,0
SY009794,0
SY009795,0
SY009796,0
SY009797,0
SY009798,0+3
SY009799,3
SY0178,0
SY0179,0+3
SY010790,0
SY010791,0
SY010792,0
SY010793,0
SY010794,0
SY010795,0
SY010796,0+3
SY010797,0+3
SY010798,0+3
SY010799,3
SY011790,0
SY011791,0
SY011792,0
SY011793,0
SY011794,0
SY011795,0
SY011796,0+3
SY011797,0+3
SY011798,3
SY011799,3
SY012790,0
SY012791,0
SY012792,0
SY012793,0
SY012794,0
SY012795,0
SY012796,0
SY012797,0+3
SY012798,3
SY012799,3
SY013790,0
SY013791,0
SY013792,0
SY013793,0
SY013794,0
SY013795,0
SY013796,0
SY013797,0+3
SY013798,3
SY013799,3
SY014790,0
SY014791,0
SY014792,0
SY014793,0
SY014794,0
SY014795,0
SY014796,0
