TA,0+54+61+62
TA00,54
TA01,54
TA02,0+54+61
TA02SW,0+54+61
TA02NW,0+61
TA02SE,0+54
TA02NE,0+54+61
TA02A,54
TA02B,0+54
TA0022,0+54
TA000220,54
TA000221,54
TA000222,54
TA000223,54
TA000224,54
TA000225,54
TA000226,0+54
TA000227,0+54
TA000228,0
TA000229,0
TA001220,54
TA001221,54
TA001222,54
TA001223,54
TA001224,54
TA001225,54
TA001226,54
TA001227,0+54
TA001228,0+54
TA001229,0
TA002220,54
TA002221,54
TA002222,54
TA002223,54
TA002224,54
TA002225,54
TA002226,54
TA002227,54
TA002228,0+54
TA002229,0+54
TA003220,54
TA003221,54
TA003222,54
TA003223,54
TA003224,54
TA003225,54
TA003226,54
TA003227,54
TA003228,54
TA003229,0+54
TA004220,54
TA004221,54
TA004222,54
TA004223,54
TA004224,54
TA004225,54
TA004226,54
TA004227,54
TA004228,54
TA004229,54
TA005220,54
TA005221,54
TA005222,54
TA005223,54
TA005224,54
TA005225,54
TA005226,54
TA005227,54
TA005228,54
TA005229,54
TA006220,54
TA006221,54
TA006222,54
TA006223,54
TA006224,54
TA006225,54
TA006226,54
TA006227,54
TA006228,54
TA006229,54
TA007220,54
TA007221,54
TA007222,54
TA007223,54
TA007224,54
TA007225,54
TA007226,54
TA007227,54
TA007228,54
TA007229,54
TA008220,54
TA008221,54
TA008222,54
TA008223,54
TA008224,54
TA008225,54
TA008226,54
TA008227,54
TA008228,54
TA008229,54
TA009220,54
TA009221,54
TA009222,54
TA009223,54
TA009224,54
TA009225,54
TA009226,54
TA009227,54
TA009228,54
TA009229,54
TA0023,0+54
TA000230,0
TA000231,0
TA000232,0
TA000233,0
TA000234,0
TA000235,0
TA000236,0
TA000237,0
TA000238,0
TA000239,0
TA001230,0
TA001231,0
TA001232,0
TA001233,0
TA001234,0
TA001235,0
TA001236,0
TA001237,0
TA001238,0
TA001239,0
TA002230,0
TA002231,0
TA002232,0
TA002233,0
TA002234,0
TA002235,0
TA002236,0
TA002237,0
TA002238,0
TA002239,0
TA003230,0+54
TA003231,0
TA003232,0
TA003233,0
TA003234,0
TA003235,0
TA003236,0
TA003237,0
TA003238,0
TA003239,0
TA004230,0+54
TA004231,0+54
TA004232,0
TA004233,0
TA004234,0
TA004235,0
TA004236,0
TA004237,0
