TF,0+28+29+32+53+54+55
TF00,32+53+55
TF00SW,32
TF00NW,32+53+55
TF00SE,32
TF00NE,32+53+55
TF00A,32
TF00B,32
TF00C,32+53+55
TF0004,32
TF0005,32+55
TF000050,32
TF000051,32+55
TF000052,32+55
TF000053,55
TF000054,55
TF000055,55
TF000056,55
TF000057,55
TF000058,55
TF000059,55
TF001050,32
TF001051,32
TF001052,32+55
TF001053,32+55
TF001054,32+55
TF001055,32+55
TF001056,32+55
TF001057,32+55
TF001058,32+55
TF001059,55
TF002050,32
TF002051,32
TF002052,32
TF002053,32
TF002054,32+55
TF002055,32
TF002056,32
TF002057,32
TF002058,32+55
TF002059,55
TF003050,32
TF003051,32
TF003052,32
TF003053,32
TF003054,32
TF003055,32
TF003056,32
TF003057,32
TF003058,32+55
TF003059,32+55
TF004050,32
TF004051,32
TF004052,32
TF004053,32
TF004054,32
TF004055,32
TF004056,32
TF004057,32
TF004058,32
TF004059,32+55
TF005050,32
TF005051,32
TF005052,32
TF005053,32
TF005054,32
TF005055,32
TF005056,32
TF005057,32
TF005058,32
TF005059,32+55
TF006050,32
TF006051,32
TF006052,32
TF006053,32
TF006054,32
TF006055,32
TF006056,32
TF006057,32
TF006058,32
TF006059,32
TF007050,32
TF007051,32
TF007052,32
TF007053,32
TF007054,32
TF007055,32
TF007056,32
TF007057,32
TF007058,32
TF007059,32
TF008050,32
TF008051,32
TF008052,32
TF008053,32
TF008054,32
TF008055,32
TF008056,32
TF008057,32
TF008058,32
TF008059,32
TF009050,32
TF009051,32
TF009052,32
TF009053,32
TF009054,32
TF009055,32
TF009056,32
TF009057,32
TF009058,32
TF009059,32+55
TF0104,32
TF0105,32+53+55
TF010050,32
TF010051,32
TF010052,32
TF010053,32
TF010054,32
TF010055,32
TF010056,32
TF010057,32
TF010058,32+55
TF010059,32+55
TF011050,32
TF011051,32
TF011052,32
TF011053,32
TF011054,32
TF011055,32
TF011056,32
TF011057,32
TF011058,32+55
TF011059,55
TF012050,32
TF012051,32
TF012052,32
TF012053,32
TF012054,32
TF012055,32
TF012056,32
TF012057,32+55
TF012058,32+55
TF012059,55
TF013050,32
TF013051,32
TF013052,32
TF013053,32
TF013054,32
TF013055,32
TF013056,32
TF013057,32+53+55
TF013058,53+55
TF013059,53+55
TF014050,32
TF014051,32
TF014052,32
TF014053,32
TF014054,32
TF014055,32
TF014056,32
TF014057,32+53
TF014058,32+53
TF014059,53
TF015050,32
TF015051,32
TF015052,32
TF015053,32
TF015054,32
TF015055,32
TF015056,32
TF015057,32+53
TF015058,53
TF015059,53
TF016050,32
TF016051,32
TF016052,32
TF016053,32
TF016054,32
TF016055,32
TF016056,32+53
TF016057,32+53
TF016058,53
TF016059,53+55
TF017050,32
TF017051,32
TF017052,32
TF017053,32
TF017054,32
TF017055,32
TF017056,32+53
TF017057,32+53
TF017058,53
TF017059,53+55
TF018050,32
TF018051,32
TF018052,32
TF018053,32
TF018054,32
TF018055,32
TF018056,32
TF018057,32+53
TF018058,53
TF018059,53
TF019050,32
TF019051,32
TF019052,32
TF019053,32
TF019054,32
TF019055,32
TF019056,32
TF019057,32+53
TF019058,32+53
TF019059,53
TF00D,32+53+55
TF0006,32+55
TF000060,55
TF000061,55
TF000062,55
TF000063,55
TF000064,55
TF000065,55
TF000066,55
TF000067,55
TF000068,55
TF000069,55
TF001060,55
TF001061,55
TF001062,55
TF001063,55
TF001064,55
TF001065,55
TF001066,55
TF001067,55
TF001068,55
TF001069,55
TF002060,55
TF002061,55
TF002062,55
TF002063,55
TF002064,55
TF002065,55
TF002066,55
TF002067,55
TF002068,55
TF002069,55
TF003060,55
TF003061,55
TF003062,55
TF003063,55
TF003064,55
TF003065,55
TF003066,55
TF003067,55
TF003068,55
TF003069,55
TF004060,55
TF004061,55
TF004062,55
TF004063,55
TF004064,55
TF004065,55
TF004066,55
TF004067,55
TF004068,55
TF004069,55
TF005060,32+55
TF005061,55
TF005062,55
TF005063,55
TF005064,55
TF005065,55
TF005066,55
TF005067,55
TF005068,55
TF005069,55
TF006060,32+55
TF006061,55
TF006062,55
TF006063,55
TF006064,55
TF006065,55
TF006066,55
TF006067,55
TF006068,55
TF006069,55
TF007060,32+55
TF007061,32+55
TF007062,55
TF007063,55
TF007064,55
TF007065,55
TF007066,55
TF007067,55
TF007068,55
TF007069,55
TF008060,32+55
TF008061,32+55
TF008062,55
TF008063,55
TF008064,55
TF008065,55
TF008066,55
TF008067,55
TF008068,55
TF008069,55
TF009060,32+55
TF009061,55
TF009062,55
TF009063,55
TF009064,55
TF009065,55
TF009066,55
TF009067,55
TF009068,55
TF009069,55
TF0007,53+55
TF000070,55
TF000071,55
TF000072,55
TF000073,55
TF000074,53+55
TF000075,53
TF000076,53
TF000077,53
TF000078,53
TF000079,53
TF001070,55
TF001071,55
TF001072,55
TF001073,53+55
TF001074,53+55
TF001075,53
TF001076,53
TF001077,53
TF001078,53
TF001079,53
TF002070,55
TF002071,55
TF002072,55
TF002073,53+55
TF002074,53
TF002075,53
TF002076,53
TF002077,53
TF002078,53
TF002079,53
TF003070,55
TF003071,55
TF003072,55
TF003073,53+55
TF003074,53
TF003075,53
TF003076,53
TF003077,53
TF003078,53
TF003079,53
TF004070,55
TF004071,55
TF004072,53+55
TF004073,53+55
TF004074,53
TF004075,53
TF004076,53
TF004077,53
TF004078,53
TF004079,53
TF005070,55
TF005071,55
TF005072,53+55
TF005073,53
TF005074,53
TF005075,53
TF005076,53
TF005077,53
TF005078,53
TF005079,53
TF006070,55
TF006071,53+55
TF006072,53+55
TF006073,53
TF006074,53
TF006075,53
TF006076,53
TF006077,53
TF006078,53
TF006079,53
TF007070,55
TF007071,53+55
TF007072,53
TF007073,53
TF007074,53
TF007075,53
TF007076,53
TF007077,53
TF007078,53
TF007079,53
TF008070,53+55
TF008071,53+55
TF008072,53
TF008073,53
TF008074,53
TF008075,53
TF008076,53
TF008077,53
TF008078,53
TF008079,53
TF009070,53+55
TF009071,53
TF009072,53
TF009073,53
TF009074,53
TF009075,53
TF009076,53
TF009077,53
TF009078,53
TF009079,53+55
TF0106,53+55
TF010060,55
TF010061,55
TF010062,55
TF010063,55
TF010064,55
TF010065,55
TF010066,55
TF010067,55
TF010068,55
TF010069,53+55
TF011060,55
TF011061,55
TF011062,55
TF011063,55
TF011064,55
TF011065,55
TF011066,55
TF011067,55
TF011068,55
TF011069,53+55
TF012060,55
TF012061,55
TF012062,55
TF012063,55
TF012064,55
TF012065,55
TF012066,55
TF012067,55
TF012068,53+55
TF012069,53+55
TF013060,53+55
TF013061,55
TF013062,55
TF013063,55
TF013064,55
TF013065,55
TF013066,55
TF013067,55
TF013068,53+55
TF013069,53
TF014060,53+55
TF014061,55
TF014062,55
TF014063,55
TF014064,55
TF014065,53+55
TF014066,53+55
TF014067,53+55
TF014068,53+55
TF014069,53
TF015060,53+55
TF015061,55
TF015062,55
TF015063,55
TF015064,55
TF015065,53+55
TF015066,53+55
TF015067,53+55
TF015068,53
TF015069,53
TF016060,53+55
TF016061,55
TF016062,55
TF016063,55
TF016064,55
TF016065,55
TF016066,53+55
TF016067,53
TF016068,53
TF016069,53
TF017060,53+55
TF017061,55
TF017062,55
TF017063,55
TF017064,55
TF017065,55
TF017066,53+55
TF017067,53
TF017068,53
TF017069,53
TF018060,53+55
TF018061,55
TF018062,55
TF018063,55
TF018064,55
TF018065,55
TF018066,53+55
TF018067,53+55
TF018068,53
TF018069,53
TF019060,53+55
TF019061,55
TF019062,55
TF019063,53+55
TF019064,53+55
TF019065,55
TF019066,53+55
TF019067,53+55
TF019068,53
TF019069,53
TF0107,53+55
TF010070,53+55
TF010071,53
TF010072,53
TF010073,53
TF010074,53
TF010075,53
TF010076,53
TF010077,53
TF010078,53
TF010079,53+55
TF011070,53
TF011071,53
TF011072,53
TF011073,53
TF011074,53
TF011075,53
TF011076,53
TF011077,53
TF011078,53+55
TF011079,53+55
TF012070,53
TF012071,53
TF012072,53
TF012073,53
TF012074,53
TF012075,53
TF012076,53
TF012077,53
TF012078,53
TF012079,53
TF013070,53
TF013071,53
TF013072,53
TF013073,53
TF013074,53
TF013075,53
TF013076,53
TF013077,53
TF013078,53
TF013079,53
TF014070,53
TF014071,53
TF014072,53
TF014073,53
TF014074,53
TF014075,53
TF014076,53
TF014077,53
TF014078,53
TF014079,53
TF015070,53
TF015071,53
TF015072,53
TF015073,53
TF015074,53
TF015075,53
TF015076,53
TF015077,53
TF015078,53
TF015079,53
TF016070,53
TF016071,53
TF016072,53
TF016073,53
TF016074,53
TF016075,53
TF016076,53
TF016077,53
TF016078,53
TF016079,53
TF017070,53
TF017071,53
TF017072,53
TF017073,53
TF017074,53
TF017075,53
TF017076,53
TF017077,53
TF017078,53
TF017079,53
TF018070,53
TF018071,53
TF018072,53
TF018073,53
TF018074,53
TF018075,53
TF018076,53
TF018077,53
TF018078,53
TF018079,53
TF019070,53
TF019071,53
TF019072,53
TF019073,53
TF019074,53
TF019075,53
TF019076,53
TF019077,53
TF019078,53
TF019079,53
TF00E,53+55
TF0008,53+55
TF000080,53
TF000081,53
TF000082,53
TF000083,53
TF000084,53
TF000085,53+55
TF000086,53+55
TF000087,55
TF000088,55
TF000089,55
TF001080,53
TF001081,53
TF001082,53
TF001083,53
TF001084,53
TF001085,53
TF001086,53+55
TF001087,55
TF001088,55
TF001089,55
TF002080,53
TF002081,53
TF002082,53
TF002083,53
TF002084,53
TF002085,53
TF002086,53+55
TF002087,55
TF002088,55
TF002089,55
TF003080,53
TF003081,53
TF003082,53
TF003083,53
TF003084,53
TF003085,53+55
TF003086,53+55
TF003087,55
TF003088,55
TF003089,55
TF004080,53
TF004081,53
TF004082,53
TF004083,53
TF004084,53+55
TF004085,53+55
TF004086,55
TF004087,55
TF004088,55
TF004089,55
TF005080,53
TF005081,53
TF005082,53
TF005083,53+55
TF005084,53+55
TF005085,55
TF005086,55
TF005087,55
TF005088,55
TF005089,55
TF006080,53
TF006081,53
TF006082,53+55
TF006083,53+55
TF006084,55
TF006085,55
TF006086,55
TF006087,55
TF006088,55
TF006089,55
TF007080,53
TF007081,53+55
TF007082,53+55
TF007083,55
TF007084,55
TF007085,55
TF007086,55
TF007087,55
TF007088,55
TF007089,55
TF008080,53+55
TF008081,53+55
TF008082,55
TF008083,55
TF008084,55
TF008085,55
TF008086,55
TF008087,55
TF008088,55
TF008089,55
TF009080,53+55
TF009081,55
TF009082,55
TF009083,55
TF009084,55
TF009085,55
TF009086,55
TF009087,55
TF009088,55
TF009089,55
TF0009,55
TF0108,53+55
TF010080,55
TF010081,55
TF010082,55
TF010083,55
TF010084,55
TF010085,55
TF010086,55
TF010087,55
TF010088,55
TF010089,55
TF011080,53+55
TF011081,55
TF011082,55
TF011083,55
TF011084,55
TF011085,55
TF011086,55
TF011087,55
TF011088,55
TF011089,55
TF012080,53+55
TF012081,55
TF012082,55
TF012083,55
TF012084,55
TF012085,55
TF012086,55
TF012087,55
TF012088,55
TF012089,55
TF013080,53+55
TF013081,55
TF013082,55
TF013083,55
TF013084,55
TF013085,55
TF013086,55
TF013087,55
TF013088,55
TF013089,55
TF014080,53+55
TF014081,55
TF014082,55
