TG,0+25+27+28
TG00,27+28
TG00SW,27+28
TG00NW,27+28
TG00SE,27
TG00NE,27
TG00A,28
TG00B,28
TG00C,28
TG00D,28
TG00E,28
TG00F,27+28
TG0200,28
TG0201,28
TG0300,27+28
TG030000,28
TG030001,28
TG030002,28
TG030003,28
TG030004,28
TG030005,28
TG030006,28
TG030007,28
TG030008,28
TG030009,28
TG031000,28
TG031001,28
TG031002,28
TG031003,28
TG031004,28
TG031005,28
TG031006,28
TG031007,28
TG031008,28
TG031009,28
TG032000,28
TG032001,28
TG032002,27+28
TG032003,27+28
TG032004,27+28
TG032005,27+28
TG032006,27+28
TG032007,27+28
TG032008,27+28
TG032009,27+28
TG033000,27+28
TG033001,27+28
TG033002,27+28
TG033003,27
TG033004,27
TG033005,27
TG033006,27
TG033007,27
TG033008,27
TG033009,27
TG034000,27
TG034001,27
TG034002,27
TG034003,27
TG034004,27
TG034005,27
TG034006,27
TG034007,27
TG034008,27
TG034009,27
TG035000,27
TG035001,27
TG035002,27
TG035003,27
TG035004,27
TG035005,27
TG035006,27
TG035007,27
TG035008,27
TG035009,27
TG036000,27
TG036001,27
TG036002,27
TG036003,27
TG036004,27
TG036005,27
TG036006,27
TG036007,27
TG036008,27
TG036009,27
TG037000,27
TG037001,27
TG037002,27
TG037003,27
TG037004,27
TG037005,27
TG037006,27
TG037007,27
TG037008,27
TG037009,27
TG038000,27
TG038001,27
TG038002,27
TG038003,27
TG038004,27
TG038005,27
TG038006,27
TG038007,27
TG038008,27
TG038009,27
TG039000,27
TG039001,27
TG039002,27
TG039003,27
TG039004,27
TG039005,27
TG039006,27
TG039007,27
TG039008,27
TG039009,27
TG0301,27+28
TG030010,28
TG030011,28
TG030012,28
TG030013,28
TG030014,28
TG030015,28
TG030016,28
TG030017,28
TG030018,28
TG030019,28
TG031010,28
TG031011,28
TG031012,28
TG031013,28
TG031014,28
TG031015,28
TG031016,28
TG031017,28
TG031018,28
TG031019,28
TG032010,27+28
TG032011,27+28
TG032012,27+28
TG032013,27+28
TG032014,27+28
TG032015,27+28
TG032016,27+28
TG032017,27+28
TG032018,27+28
TG032019,27+28
TG033010,27
TG033011,27
TG033012,27
TG033013,27
TG033014,27
TG033015,27
TG033016,27
TG033017,27
TG033018,27
TG033019,27
TG034010,27
TG034011,27
TG034012,27
TG034013,27
TG034014,27
TG034015,27
TG034016,27
TG034017,27
TG034018,27
TG034019,27
TG035010,27
TG035011,27
TG035012,27
TG035013,27
TG035014,27
TG035015,27
TG035016,27
TG035017,27
TG035018,27
TG035019,27
TG036010,27
TG036011,27
TG036012,27
TG036013,27
TG036014,27
TG036015,27
TG036016,27
TG036017,27
TG036018,27
TG036019,27
TG037010,27
TG037011,27
TG037012,27
TG037013,27
TG037014,27
TG037015,27
TG037016,27
TG037017,27
TG037018,27
TG037019,27
TG038010,27
TG038011,27
TG038012,27
TG038013,27
TG038014,27
TG038015,27
TG038016,27
TG038017,27
TG038018,27
TG038019,27
TG039010,27
TG039011,27
TG039012,27
TG039013,27
TG039014,27
TG039015,27
TG039016,27
TG039017,27
TG039018,27
TG039019,27
TG00G,27+28
