TL,0+18+19+20+21+24+26+28+29+30+31+32
TL00,20+24
TL00SW,20+24
TL00NW,20+24
TL00SE,20
TL00NE,20
TL00A,20+24
TL0000,20+24
TL000000,24
TL000001,24
TL000002,24
TL000003,24
TL000004,24
TL000005,24
TL000006,24
TL000007,24
TL000008,24
TL000009,24
TL001000,24
TL001001,24
TL001002,24
TL001003,24
TL001004,24
TL001005,24
TL001006,24
TL001007,24
TL001008,24
TL001009,24
TL002000,24
TL002001,24
TL002002,24
TL002003,24
TL002004,24
TL002005,24
TL002006,24
TL002007,24
TL002008,24
TL002009,24
TL003000,24
TL003001,24
TL003002,24
TL003003,24
TL003004,24
TL003005,24
TL003006,24
TL003007,24
TL003008,24
TL003009,24
TL004000,24
TL004001,24
TL004002,24
TL004003,24
TL004004,24
TL004005,24
TL004006,24
TL004007,24
TL004008,24
TL004009,24
TL005000,20+24
TL005001,24
TL005002,24
TL005003,24
TL005004,24
TL005005,24
TL005006,24
TL005007,24
TL005008,20+24
TL005009,20+24
TL006000,20+24
TL006001,20+24
TL006002,20+24
TL006003,24
TL006004,24
TL006005,24
TL006006,24
TL006007,24
TL006008,20+24
TL006009,20
TL007000,20
TL007001,20
TL007002,20+24
TL007003,20+24
TL007004,20+24
TL007005,20+24
TL007006,20+24
TL007007,20+24
TL007008,20+24
TL007009,20
TL008000,20
TL008001,20
TL008002,20
TL008003,20
TL008004,20+24
TL008005,20
TL008006,20
TL008007,20
TL008008,20
TL008009,20
TL009000,20
TL009001,20
TL009002,20
TL009003,20
TL009004,20
TL009005,20
TL009006,20
TL009007,20
TL009008,20
TL009009,20
TL0001,20+24
TL000010,24
TL000011,24
TL000012,24
TL000013,24
TL000014,24
TL000015,20+24
TL000016,20+24
TL000017,20
TL000018,20
TL000019,20
TL001010,24
TL001011,24
TL001012,24
TL001013,24
TL001014,24
TL001015,20+24
TL001016,20
TL001017,20
TL001018,20
TL001019,20
TL002010,24
TL002011,24
TL002012,24
TL002013,24
TL002014,24
TL002015,20+24
TL002016,20
TL002017,20
TL002018,20
TL002019,20
TL003010,24
TL003011,24
TL003012,24
TL003013,24
TL003014,24
TL003015,20+24
TL003016,20
TL003017,20
TL003018,20
TL003019,20
TL004010,24
TL004011,24
TL004012,24
TL004013,20+24
TL004014,20+24
TL004015,20+24
TL004016,20
TL004017,20
TL004018,20
TL004019,20
TL005010,20+24
TL005011,20+24
TL005012,20+24
TL005013,20+24
TL005014,20
TL005015,20
TL005016,20
TL005017,20
TL005018,20
TL005019,20
TL006010,20
TL006011,20
TL006012,20
TL006013,20
TL006014,20
TL006015,20
TL006016,20
TL006017,20
TL006018,20
TL006019,20
TL007010,20
TL007011,20
TL007012,20
TL007013,20
TL007014,20
TL007015,20
TL007016,20
TL007017,20
TL007018,20
TL007019,20
TL008010,20
