NH,0+92+94+95+96+97+105+106+107
NH39,106+107
NH39NE,106+107
NH39Z,106+107
NH3999,106+107
NH395999,106+107
NH396999,106+107
NH397999,106+107
NH398999,106+107
NH49,106+107
NH49NE,106+107
NH49Z,106+107
NH4999,106+107
NH490999,106+107
NH491999,106+107
NH492999,106+107
NH493999,106+107
NH494999,106+107
NH495999,106+107
NH496998,106+107
NH496999,106+107
NH497996,106+107
NH497997,106+107
NH497998,106+107
NH497999,107
NH498995,106+107
NH498996,106+107
NH498997,107
NH498998,107
NH498999,107
NH499992,106+107
NH499993,106+107
NH499994,106+107
NH499995,106+107
NH499996,107
NH499997,107
NH499998,107
NH499999,107
NH59,0+106+107
NH59NW,106+107
NH59SE,0+106+107
NH59NE,0+106+107
NH59E,106+107
NH5098,106+107
NH509989,106+107
NH5099,106+107
NH500992,106+107
NH500993,107
NH500994,107
NH500995,107
NH500996,107
NH500997,107
NH500998,107
NH500999,107
NH501991,106+107
NH501992,106+107
NH501993,107
NH501994,107
NH501995,107
NH501996,107
NH501997,107
NH501998,107
NH501999,107
NH502991,106+107
NH502992,107
NH502993,107
NH502994,107
NH502995,107
NH502996,107
NH502997,107
NH502998,107
NH502999,107
NH503991,106+107
NH503992,107
NH503993,107
NH503994,107
NH503995,107
NH503996,107
NH503997,107
NH503998,107
NH503999,107
NH504991,106+107
NH504992,106+107
NH504993,107
NH504994,107
NH504995,107
NH504996,107
NH504997,107
NH504998,107
NH504999,107
NH505991,106+107
NH505992,107
NH505993,107
NH505994,107
NH505995,107
NH505996,107
NH505997,107
NH505998,107
NH505999,107
NH506991,106+107
NH506992,107
NH506993,107
NH506994,107
NH506995,107
NH506996,107
NH506997,107
NH506998,107
NH506999,107
NH507990,106+107
NH507991,106+107
NH507992,107
NH507993,107
NH507994,107
NH507995,107
NH507996,107
NH507997,107
NH507998,107
NH507999,107
NH508990,106+107
NH508991,107
NH508992,107
NH508993,107
NH508994,107
NH508995,107
NH508996,107
NH508997,107
NH508998,107
NH508999,107
NH509990,106+107
NH509991,107
NH509992,107
NH509993,107
NH509994,107
NH509995,107
NH509996,107
NH509997,107
NH509998,107
NH509999,107
NH5198,106+107
NH510989,106+107
NH514989,106+107
NH515989,106+107
NH516989,106+107
NH517989,106+107
NH518989,106+107
NH519989,106+107
NH5199,106+107
