TL,0+18+19+20+21+24+26+28+29+30+31+32
TL06,30+31+32
TL06NE,30+31
TL06P,30+31
TL0569,30+31
TL055699,30+31
TL056699,30+31
TL057698,30+31
TL057699,30+31
TL058697,30+31
TL058698,30+31
TL058699,31
TL059697,30+31
TL059698,31
TL059699,31
TL06T,30+31
TL0766,30+31
TL073669,30+31
TL074668,30+31
TL074669,30+31
TL075668,30+31
TL075669,31
TL076665,30+31
TL076666,30+31
TL076667,30+31
TL076668,30+31
TL076669,31
TL077663,30+31
TL077664,30+31
TL077665,30+31
TL077666,31
TL077667,30+31
TL077668,30+31
TL077669,31
TL078663,30+31
TL078664,31
TL078665,31
TL078666,31
TL078667,31
TL078668,31
TL078669,31
TL079662,30+31
TL079663,30+31
TL079664,31
TL079665,31
TL079666,31
TL079667,31
TL079668,31
TL079669,31
TL0767,30+31
TL073670,30+31
TL074670,30+31
TL074671,30+31
TL074673,30+31
TL074674,30+31
TL074675,30+31
TL074676,30+31
TL075670,31
TL075671,30+31
TL075672,30+31
TL075673,30+31
TL075674,31
TL075675,31
TL075676,30+31
TL075677,30+31
TL075678,30+31
TL075679,30+31
TL076670,31
TL076671,31
TL076672,31
TL076673,31
TL076674,31
TL076675,31
TL076676,31
TL076677,31
TL076678,31
TL076679,31
TL077670,31
TL077671,31
TL077672,31
TL077673,31
TL077674,31
TL077675,31
TL077676,31
TL077677,31
TL077678,31
TL077679,31
TL078670,31
TL078671,31
TL078672,31
TL078673,31
TL078674,31
TL078675,31
TL078676,31
TL078677,31
TL078678,31
TL078679,31
TL079670,31
TL079671,31
TL079672,31
TL079673,31
TL079674,31
TL079675,31
TL079676,31
TL079677,31
TL079678,31
TL079679,31
TL06U,30+31
TL0669,30+31
TL060696,30+31
TL060697,30+31
TL060698,31
TL060699,31
TL061695,30+31
TL061696,30+31
TL061697,30+31
TL061698,30+31
TL061699,30+31
TL062695,30+31
TL062696,30+31
TL062697,30+31
TL062699,30+31
TL063696,30+31
TL0768,30+31
TL075680,30+31
TL076680,30+31
TL076681,30+31
TL076682,30+31
TL077680,31
TL077681,31
TL077682,30+31
TL077683,30+31
TL078680,31
TL078681,31
TL078682,31
TL078683,30+31
TL079680,31
TL079681,31
TL079682,31
TL079683,30+31
TL079684,30+31
TL06X,30+31
TL0965,30+31
TL091657,30+31
TL091658,30+31
TL091659,30+31
TL092657,30+31
TL092658,31
TL092659,31
TL093657,30+31
TL093658,30+31
TL093659,31
TL094658,30+31
TL094659,30+31
TL095659,30+31
TL06Y,30+31
TL0866,30+31
TL080662,30+31
TL080663,30+31
TL080664,31
TL080665,31
TL080666,31
TL080667,31
TL080668,31
TL080669,31
TL081662,30+31
TL081663,30+31
TL081664,31
TL081665,31
TL081666,31
TL081667,31
TL081668,31
TL081669,31
TL082663,30+31
TL082664,31
TL082665,31
TL082666,31
TL082667,31
TL082668,31
TL082669,31
TL083663,30+31
TL083664,31
TL083665,31
TL083666,31
TL083667,31
TL083668,31
TL083669,31
TL084663,30+31
TL084664,31
TL084665,31
TL084666,31
TL084667,31
TL084668,31
TL084669,31
TL085663,30+31
TL085664,30+31
TL085665,30+31
TL085666,31
TL085667,31
TL085668,31
TL085669,31
TL086665,30+31
TL086666,30+31
TL086667,31
TL086668,31
TL086669,31
TL087666,30+31
TL087667,31
TL087668,31
TL087669,31
TL088665,30+31
TL088666,30+31
TL088667,31
TL088668,31
TL088669,31
TL089664,30+31
TL089665,30+31
TL089666,31
TL089667,31
TL089668,31
TL089669,31
TL0867,31
TL0966,30+31
TL090660,30+31
TL090661,30+31
TL090662,30+31
TL090663,30+31
TL090664,30+31
TL090665,31
TL090666,31
TL090667,31
TL090668,31
TL090669,31
TL091660,30+31
TL091661,30+31
TL091662,30+31
TL091663,31
TL091664,31
TL091665,31
TL091666,31
TL091667,31
TL091668,31
TL091669,31
TL092660,31
TL092661,31
TL092662,31
TL092663,31
TL092664,31
TL092665,31
TL092666,31
TL092667,31
TL092668,31
TL092669,31
TL093660,31
TL093661,31
TL093662,31
TL093663,31
TL093664,31
TL093665,31
TL093666,31
TL093667,31
TL093668,31
TL093669,31
TL094660,31
TL094661,31
TL094662,31
