TA,0+54+61+62
TA00,54
TA01,54
TA02,0+54+61
TA02SW,0+54+61
TA02SE,0+54
TA02NE,0+54+61
TA02A,54
TA02B,0+54
TA0022,0+54
TA000220,54
TA000221,54
TA000222,54
TA000223,54
TA000224,54
TA000225,54
TA000226,0+54
TA000227,0+54
TA001220,54
TA001221,54
TA001222,54
TA001223,54
TA001224,54
TA001225,54
TA001226,54
TA001227,0+54
TA001228,0+54
TA002220,54
TA002221,54
TA002222,54
TA002223,54
TA002224,54
TA002225,54
TA002226,54
TA002227,54
TA002228,0+54
TA002229,0+54
TA003220,54
TA003221,54
TA003222,54
TA003223,54
TA003224,54
TA003225,54
TA003226,54
TA003227,54
TA003228,54
TA003229,0+54
TA004220,54
TA004221,54
TA004222,54
TA004223,54
TA004224,54
TA004225,54
TA004226,54
TA004227,54
TA004228,54
TA004229,54
TA005220,54
TA005221,54
TA005222,54
TA005223,54
TA005224,54
TA005225,54
TA005226,54
TA005227,54
TA005228,54
TA005229,54
TA006220,54
TA006221,54
TA006222,54
TA006223,54
TA006224,54
TA006225,54
TA006226,54
TA006227,54
TA006228,54
TA006229,54
TA007220,54
TA007221,54
TA007222,54
TA007223,54
TA007224,54
TA007225,54
TA007226,54
TA007227,54
TA007228,54
TA007229,54
TA008220,54
TA008221,54
TA008222,54
TA008223,54
TA008224,54
TA008225,54
TA008226,54
TA008227,54
TA008228,54
TA008229,54
TA009220,54
TA009221,54
TA009222,54
TA009223,54
TA009224,54
TA009225,54
TA009226,54
TA009227,54
TA009228,54
TA009229,54
TA0023,0+54
TA003230,0+54
TA004230,0+54
TA004231,0+54
TA005230,54
TA005231,0+54
TA005232,0+54
TA006230,54
TA006231,54
TA006232,0+54
TA006233,0+54
TA007230,54
TA007231,54
TA007232,54
TA007233,0+54
TA007234,0+54
TA008230,54
TA008231,54
TA008232,54
TA008233,54
TA008234,0+54
TA009230,54
TA009231,54
TA009232,54
TA009233,54
TA009234,0+54
TA009235,0+54
TA0122,54
TA0123,0+54
TA010230,54
TA010231,54
TA010232,54
TA010233,54
TA010234,54
TA010235,0+54
TA011230,54
TA011231,54
TA011232,54
TA011233,54
TA011234,54
TA011235,0+54
TA012230,54
TA012231,54
TA012232,54
TA012233,54
TA012234,54
TA012235,0+54
TA012236,0+54
TA013230,54
TA013231,54
