NU,0+67+68
NU00,67+68
NU00SW,67+68
NU00NW,68
NU00SE,67+68
NU00NE,68
NU00A,67+68
NU0001,67+68
NU000012,67+68
NU000013,67+68
NU000014,68
NU000015,68
NU000016,68
NU000017,68
NU000018,68
NU000019,68
NU001012,67+68
NU001013,67+68
NU001014,68
NU001015,68
NU001016,68
NU001017,68
NU001018,68
NU001019,68
NU002012,67+68
NU002013,67+68
NU002014,67+68
NU002015,67+68
NU002016,67+68
NU002017,68
NU002018,68
NU002019,68
NU003013,67+68
NU003014,67+68
NU003016,67+68
NU003017,68
NU003018,68
NU003019,68
NU004016,67+68
NU004017,67+68
NU004018,68
NU004019,68
NU005017,67+68
NU005018,67+68
NU005019,68
NU006018,67+68
NU006019,67+68
NU007019,67+68
NU0101,67+68
NU010019,67+68
NU011019,67+68
NU012019,67+68
NU00B,67+68
NU0002,67+68
NU000020,68
NU000021,68
NU000022,68
NU000023,68
NU000024,68
NU000025,68
NU000026,68
NU000027,68
NU000028,68
NU000029,68
NU001020,68
NU001021,68
NU001022,68
NU001023,68
NU001024,68
NU001025,68
NU001026,68
NU001027,68
NU001028,68
NU001029,68
NU002020,68
NU002021,68
NU002022,68
NU002023,68
NU002024,68
NU002025,68
NU002026,68
NU002027,68
NU002028,68
NU002029,68
NU003020,68
NU003021,68
NU003022,68
NU003023,68
NU003024,68
NU003025,68
NU003026,68
NU003027,68
NU003028,68
NU003029,68
NU004020,68
NU004021,68
NU004022,68
NU004023,68
NU004024,68
NU004025,68
NU004026,68
NU004027,68
NU004028,68
NU004029,68
NU005020,68
NU005021,68
NU005022,68
NU005023,68
NU005024,68
NU005025,68
NU005026,68
NU005027,68
NU005028,68
NU005029,68
NU006020,68
NU006021,68
NU006022,68
NU006023,68
NU006024,68
NU006025,68
NU006026,68
NU006027,68
NU006028,68
NU006029,68
NU007020,67+68
NU007021,67+68
NU007022,67+68
NU007023,68
NU007024,68
NU007025,68
NU007026,68
NU007027,68
NU007028,68
NU007029,68
NU008020,67+68
NU008021,67+68
NU008022,67+68
NU008023,68
NU008024,68
NU008025,68
NU008026,68
NU008027,68
NU008028,68
NU008029,68
NU009020,67+68
NU009021,68
NU009022,68
NU009023,68
NU009024,68
NU009025,68
NU009026,68
NU009027,68
NU009028,68
NU009029,68
NU0003,68
NU0102,67+68
NU010020,67+68
NU010021,68
NU010022,68
NU010023,68
NU010024,68
NU010025,68
NU010026,68
NU010027,68
NU010028,68
NU010029,68
NU011020,68
NU011021,68
NU011022,68
NU011023,68
NU011024,68
NU011025,68
NU011026,68
NU011027,68
NU011028,68
NU011029,68
NU012020,67+68
NU012021,68
NU012022,68
NU012023,68
NU012024,68
NU012025,68
NU012026,68
NU012027,68
NU012028,68
NU012029,68
NU013020,67+68
NU013021,68
NU013022,68
NU013023,68
NU013024,68
NU013025,68
NU013026,68
NU013027,68
NU013028,68
NU013029,68
NU014020,67+68
NU014021,68
NU014022,68
NU014023,68
NU014024,68
NU014025,68
NU014026,68
NU014027,68
NU014028,68
NU014029,68
NU015020,67+68
NU015021,67+68
NU015022,67+68
NU015023,67+68
NU015024,68
NU015025,68
NU015026,68
NU015027,68
NU015028,68
NU015029,68
NU016022,67+68
NU016023,67+68
NU016024,68
NU016025,68
NU016026,68
NU016027,68
NU016028,68
NU016029,68
NU017021,67+68
NU017022,67+68
NU017023,68
NU017024,68
NU017025,68
NU017026,68
NU017027,68
NU017028,68
NU017029,68
NU018021,67+68
NU018022,68
NU018023,68
NU018024,68
NU018025,68
NU018026,68
NU018027,68
NU018028,68
NU018029,68
NU019021,67+68
NU019022,68
NU019023,68
NU019024,68
NU019025,68
NU019026,68
NU019027,68
NU019028,68
NU019029,68
NU0103,68
NU00C,68
NU00D,68
NU00E,68
NU00F,67+68
NU0201,67+68
NU028017,67+68
NU028018,67+68
NU028019,67+68
NU029017,67+68
NU029018,68
NU029019,68
NU0301,67+68
NU030017,67+68
NU030018,68
NU030019,68
NU031017,67+68
NU031018,68
NU031019,68
NU032016,67+68
NU032017,67+68
NU032018,68
NU032019,68
NU033015,67+68
NU033016,67+68
NU033017,68
NU033018,68
NU033019,68
NU034014,67+68
NU034015,67+68
NU034016,68
NU034017,68
NU034018,68
NU034019,68
NU035014,67+68
NU035015,68
NU035016,68
NU035017,68
NU035018,68
NU035019,68
NU036014,67+68
NU036015,68
NU036016,68
