NY,0+65+66+67+68+69+70+72+73+80
NY05,0+70+72+73
NY05NW,0+72+73
NY05D,0+73
NY0056,0+73
NY000560,0+73
NY000561,0+73
NY000562,73
NY000563,73
NY000564,73
NY000565,73
NY000566,73
NY000567,73
NY000568,73
NY000569,73
NY001561,0+73
NY001562,0+73
NY001563,0+73
NY001564,73
NY001565,73
NY001566,73
NY001567,73
NY001568,73
NY001569,73
NY002563,0+73
NY002564,0+73
NY002565,73
NY002566,73
NY002567,73
NY002568,73
NY002569,73
NY003564,0+73
NY003565,0+73
NY003566,0+73
NY003567,73
NY003568,73
NY003569,73
NY004566,0+73
NY004567,0+73
NY004568,0+73
NY004569,73
NY005568,0+73
NY005569,0+73
NY0057,0+73
NY000570,73
NY000571,73
NY000572,73
NY000573,73
NY000574,73
NY000575,73
NY000576,73
NY000577,73
NY000578,73
NY000579,73
NY001570,73
NY001571,73
NY001572,73
NY001573,73
NY001574,73
NY001575,73
NY001576,73
NY001577,73
NY001578,73
NY001579,73
NY002570,73
NY002571,73
NY002572,73
NY002573,73
NY002574,73
NY002575,73
NY002576,73
NY002577,73
NY002578,73
NY002579,73
NY003570,73
NY003571,73
NY003572,73
NY003573,73
NY003574,73
NY003575,73
NY003576,73
NY003577,73
NY003578,73
NY003579,73
NY004570,73
NY004571,73
NY004572,73
NY004573,73
NY004574,73
NY004575,73
NY004576,73
NY004577,73
NY004578,73
NY004579,73
NY005570,0+73
NY005571,73
NY005572,73
NY005573,73
NY005574,73
NY005575,73
NY005576,73
NY005577,73
NY005578,73
NY005579,73
NY006570,0+73
NY006571,0+73
NY006572,0+73
NY006573,73
NY006574,73
NY006575,73
NY006576,73
NY006577,73
NY006578,73
NY006579,73
NY007572,0+73
NY007573,0+73
NY007574,0+73
NY007575,73
NY007576,73
NY007577,73
NY007578,73
NY007579,73
NY008574,0+73
NY008575,0+73
NY008576,0+73
NY008577,73
NY008578,73
NY008579,73
NY009576,0+73
NY009577,0+73
NY009578,0+73
NY009579,73
NY0157,0+73
NY010578,0+73
NY010579,0+73
NY05E,0+73
NY0058,73
NY0059,73
NY0158,0+73
NY010580,0+73
NY010581,73
NY010582,73
NY010583,73
NY010584,73
NY010585,73
NY010586,73
NY010587,73
NY010588,73
NY010589,73
NY011580,0+73
NY011581,0+73
NY011582,0+73
NY011583,73
NY011584,73
NY011585,73
NY011586,73
NY011587,73
NY011588,73
NY011589,73
NY012582,0+73
NY012583,0+73
NY012584,0+73
NY012585,73
NY012586,73
NY012587,73
NY012588,73
NY012589,73
NY013584,0+73
NY013585,0+73
NY013586,0+73
NY013587,73
NY013588,73
NY013589,73
NY014586,0+73
NY014587,0+73
NY014588,0+73
NY014589,73
NY015588,0+73
NY015589,0+73
NY016589,0+73
NY0159,0+73
NY010590,73
NY010591,73
NY010592,73
NY010593,73
NY010594,73
NY010595,73
NY010596,73
NY010597,73
NY010598,73
NY010599,73
NY011590,73
NY011591,73
NY011592,73
NY011593,73
NY011594,73
NY011595,73
NY011596,73
NY011597,73
NY011598,73
NY011599,73
NY012590,73
NY012591,73
NY012592,73
NY012593,73
NY012594,73
NY012595,73
NY012596,73
NY012597,73
NY012598,73
NY012599,73
NY013590,73
NY013591,73
NY013592,73
NY013593,73
NY013594,73
NY013595,73
NY013596,73
NY013597,73
NY013598,73
NY013599,73
NY014590,73
NY014591,73
NY014592,73
NY014593,73
NY014594,73
NY014595,73
NY014596,73
NY014597,73
NY014598,73
NY014599,73
NY015590,73
NY015591,73
NY015592,73
NY015593,73
NY015594,73
NY015595,73
NY015596,73
NY015597,73
NY015598,73
NY015599,73
NY016590,0+73
NY016591,73
NY016592,73
NY016593,73
NY016594,73
NY016595,73
NY016596,73
NY016597,73
NY016598,73
NY016599,73
NY017590,0+73
NY017591,0+73
NY017592,0+73
NY017593,73
NY017594,73
NY017595,73
NY017596,73
NY017597,73
NY017598,73
NY017599,73
NY018592,0+73
NY018593,0+73
NY018594,73
NY018595,73
NY018596,73
NY018597,73
NY018598,73
NY018599,73
NY019593,0+73
NY019594,0+73
NY019595,73
NY019596,73
NY019597,73
NY019598,73
NY019599,73
NY05J,0+72+73
NY0259,0+73
NY020594,0+73
NY020595,0+73
NY020596,73
NY020597,73
NY020598,73
NY020599,73
NY021595,0+73
NY021596,0+73
NY021597,73
NY021598,73
NY021599,73
NY022596,0+73
NY022597,0+73
NY022598,73
NY022599,73
NY023596,0+73
NY023597,0+73
NY023598,73
NY023599,73
NY024597,0+73
NY024598,0+73
NY024599,73
NY025598,0+73
NY025599,0+73
NY026599,0+73
NY027599,0+73
NY06,0+72+73
NY06SW,0+72+73
NY06A,73
NY06B,0+72+73
NY0062,0+73
NY000620,73
NY000621,73
NY000622,73
NY000623,73
NY000624,73
NY000625,73
NY000626,73
NY000627,73
NY000628,73
NY000629,0+73
NY001620,73
NY001621,73
NY001622,73
NY001623,73
NY001624,73
NY001625,73
NY001626,73
NY001627,73
NY001628,73
NY001629,0+73
NY002620,73
NY002621,73
NY002622,73
NY002623,73
NY002624,73
NY002625,73
NY002626,73
NY002627,73
NY002628,0+73
NY002629,0+73
NY003620,73
NY003621,73
NY003622,73
NY003623,73
NY003624,73
NY003625,73
NY003626,73
NY003627,73
NY003628,73
NY003629,0+73
NY004620,73
NY004621,73
NY004622,73
NY004623,73
NY004624,73
