NT,0+67+68+72+77+78+79+80+81+82+83+84+85+87
NT10,72+79
NT10NE,72+79
NT10T,72+79
NT1606,72+79
NT163069,72+79
NT164068,72+79
NT164069,72+79
NT165068,72+79
NT165069,79
NT166067,72+79
NT166068,72+79
NT166069,79
NT167066,72+79
NT167067,72+79
NT167068,79
NT167069,79
NT168066,72+79
NT168067,79
NT168068,79
NT168069,79
NT169065,72+79
NT169066,72+79
NT169067,79
NT169068,79
NT169069,79
NT1607,72+79
NT163070,72+79
NT164070,72+79
NT164071,72+79
NT165070,79
NT165071,72+79
NT165072,72+79
NT166070,79
NT166071,79
NT166072,72+79
NT166073,72+79
NT167070,79
NT167071,79
NT167072,79
NT167073,72+79
NT167074,72+79
NT168070,79
NT168071,79
NT168072,79
NT168073,79
NT168074,72+79
NT168075,72+79
NT168076,72+79
NT168077,72+79
NT168078,72+79
NT168079,72+79
NT169070,79
NT169071,79
NT169072,79
NT169073,79
NT169074,79
NT169075,79
NT169076,79
NT169077,79
NT169078,79
NT169079,72+79
NT1706,72+79
NT170064,72+79
NT170065,72+79
NT170066,79
NT170067,79
NT170068,79
NT170069,79
NT171063,72+79
NT171064,72+79
NT171065,79
NT171066,79
NT171067,79
NT171068,79
NT171069,79
NT172062,72+79
NT172063,72+79
NT172064,79
NT172065,79
NT172066,79
NT172067,79
NT172068,79
NT172069,79
NT173061,72+79
NT173062,72+79
NT173063,79
NT173064,79
NT173065,79
NT173066,79
NT173067,79
NT173068,79
NT173069,79
NT174061,72+79
NT174062,79
NT174063,79
NT174064,79
NT174065,79
NT174066,79
NT174067,79
NT174068,79
NT174069,79
NT175061,72+79
NT175062,79
NT175063,79
NT175064,79
NT175065,79
NT175066,79
NT175067,79
NT175068,79
NT175069,79
NT176061,72+79
NT176062,79
NT176063,79
NT176064,79
NT176065,79
NT176066,79
NT176067,79
NT176068,79
NT176069,79
NT177061,72+79
NT177062,79
NT177063,79
NT177064,79
NT177065,79
NT177066,79
NT177067,79
NT177068,79
NT177069,79
NT178061,72+79
NT178062,79
NT178063,79
NT178064,79
NT178065,79
NT178066,79
NT178067,79
NT178068,79
NT178069,79
NT179061,72+79
NT179062,79
NT179063,79
NT179064,79
NT179065,79
NT179066,79
NT179067,79
NT179068,79
NT179069,79
NT1707,79
NT10U,72+79
NT1608,72+79
NT166083,72+79
NT166084,72+79
NT166085,72+79
NT166086,72+79
NT167083,72+79
NT167084,79
NT167085,79
NT167086,72+79
NT167087,72+79
NT167088,72+79
NT167089,72+79
NT168082,72+79
NT168083,72+79
NT168084,79
NT168085,79
NT168086,79
NT168087,79
NT168088,79
NT168089,72+79
NT169080,72+79
NT169081,72+79
NT169082,72+79
NT169083,79
NT169084,79
NT169085,79
NT169086,79
NT169087,79
NT169088,79
NT169089,72+79
NT1708,72+79
NT170080,79
NT170081,79
NT170082,79
NT170083,79
NT170084,79
NT170085,79
NT170086,79
NT170087,79
NT170088,79
NT170089,72+79
NT171080,79
NT171081,79
NT171082,79
NT171083,79
NT171084,79
